Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-02-12,1815.9286781704616,1815.9286781704616,1755.2177558504843,1781.0833740234375,401230,0.0,0.0
2016-02-15,1797.3609869265226,1817.0017000353466,1777.255087541105,1794.033935546875,419156,0.0,0.0
2016-02-16,1803.8004620938277,1836.7139175703514,1791.4937267222215,1797.7186279296875,248550,0.0,0.0
2016-02-17,1796.645017720032,1820.972349700311,1744.4128049388441,1806.3402099609375,303578,0.0,0.0
2016-02-18,1814.5330678928708,1880.2169102559674,1803.084909735818,1873.0260009765625,438531,0.0,0.0
2016-02-19,1872.489653839405,1939.3898382620205,1862.222015553997,1936.3131103515625,724742,0.0,0.0
2016-02-22,1931.1619303509733,1952.4841681499636,1913.5603104633608,1933.7020263671875,273758,0.0,0.0
2016-02-23,1939.7475886852103,1940.8924745466534,1897.639755773886,1904.079345703125,305417,0.0,0.0
2016-02-24,1901.1814962560127,1901.8253853160763,1867.4809088318132,1875.5303955078125,219570,0.0,0.0
2016-02-25,1874.6361644958347,1890.6278825669872,1856.2475927811117,1875.6021728515625,293356,0.0,0.0
2016-02-26,1886.0486759394828,1896.065816610691,1811.4209430019685,1828.414306640625,455721,0.0,0.0
2016-02-29,1821.6888227946627,1835.2118946137987,1768.097182995754,1788.7037353515625,733831,0.0,0.0
2016-03-01,1798.0769017568423,1918.890853390384,1793.2113980844706,1908.4443359375,865407,0.0,0.0
2016-03-02,1942.6095723185392,2045.6430081984176,1935.5260934758182,2008.2218017578125,1278710,0.0,0.0
2016-03-03,2008.2217508946444,2038.4878568548052,2003.4278691447716,2022.0311279296875,837426,0.0,0.0
2016-03-04,2007.183821942429,2042.7804337031048,1994.98434518594,2029.0784912109375,516906,0.0,0.0
2016-03-08,2032.0488460248714,2032.0488460248714,2003.7861948213565,2010.2615966796875,424372,0.0,0.0
2016-03-09,1999.8500585192032,2024.8570931869376,1996.3083196495284,2015.2335205078125,398021,0.0,0.0
2016-03-10,2032.0479461508612,2039.203044552801,2003.4275525431026,2012.2998046875,345359,0.0,0.0
2016-03-11,2000.2437471695598,2031.2968071307814,2000.2437471695598,2012.9798583984375,269758,0.0,0.0
