Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-02-08,579.5375069428571,584.2127047353459,567.0080111011583,574.1797485351562,1702935,0.0,0.0
2016-02-09,571.8702636026029,582.5297391208945,551.299389989987,553.4686889648438,5609845,0.0,0.0
2016-02-10,542.3230423709916,549.3639189182743,528.297446447604,539.5272827148438,3199525,0.0,0.0
2016-02-11,542.3230335340621,556.8255086137806,533.3466751174784,539.5833740234375,3930550,0.0,0.0
2016-02-12,545.109403437724,548.7093403756106,528.3535086882763,532.4957275390625,2541695,0.0,0.0
2016-02-15,537.1429170515362,541.7432963140132,526.0626625614774,534.6650390625,1903910,0.0,0.0
2016-02-16,535.2540744058834,546.7176691080695,532.0656144599665,534.0291748046875,1654515,0.0,0.0
2016-02-17,538.4146426134661,558.9667998469844,538.4146426134661,553.6744995117188,3638300,0.0,0.0
2016-02-18,570.3741687705926,589.897800621347,564.7639310449803,580.3977661132812,5658600,0.0,0.0
2016-02-19,580.6595932226794,580.6595932226794,569.5700372325582,572.0198364257812,1927980,0.0,0.0
2016-02-22,574.1144236409514,583.0534016350247,573.628184693939,581.220703125,1438030,0.0,0.0
2016-02-23,583.4647266854626,588.8879451027759,573.3663101376567,576.1527099609375,1731230,0.0,0.0
2016-02-24,574.9933481565887,574.9933481565887,561.0238519599735,563.4923706054688,1986430,0.0,0.0
2016-02-25,563.0622221041739,565.2782617157359,558.2187231138661,559.9859619140625,2799830,0.0,0.0
2016-02-26,564.7639296810905,566.5966278790022,552.8328150155219,559.9110717773438,1215375,0.0,0.0
2016-02-29,557.3959199604477,575.2364952905267,556.9190405320979,567.8029174804688,2509475,0.0,0.0
2016-03-01,568.504043398923,570.2712818359624,561.0237270384109,565.61474609375,1597260,0.0,0.0
2016-03-02,570.3554895640847,575.0306879953987,562.14587079525,563.8756713867188,1842655,0.0,0.0
2016-03-03,572.6183179253369,598.6124093912633,572.6183179253369,596.2093505859375,4450185,0.0,0.0
2016-03-04,601.0341221736666,613.9470175883129,598.4253820690144,608.2900390625,2963165,0.0,0.0
2016-03-08,609.6459175942416,611.5159970960644,596.1813223529983,602.0814208984375,1503355,0.0,0.0
2016-03-09,602.3526288962407,603.3063306501141,593.63805142543,602.15625,1751980,0.0,0.0
2016-03-10,605.0641989340754,605.0641989340754,590.9451215479938,595.4800415039062,1273630,0.0,0.0
2016-03-11,594.6852279748734,602.5769650440184,594.3111892801057,600.4544067382812,1540835,0.0,0.0
2016-03-14,600.2955417994524,607.2148590346063,595.0967228791413,604.71826171875,1689115,0.0,0.0
2016-03-15,604.5966377938283,604.5966377938283,581.4076650083443,585.9613037109375,1074240,0.0,0.0
2016-03-16,581.7817314394849,591.6370296487074,573.4131144416463,589.879150390625,1458955,0.0,0.0
2016-03-17,591.7679222990954,591.898841552284,580.7251058667758,584.4932861328125,1481985,0.0,0.0
2016-03-18,581.2207138432825,594.3112709755212,577.1813921500557,593.058349609375,1904355,0.0,0.0
2016-03-21,590.3841396289511,598.238439534898,584.689722260628,595.1060791015625,1624205,0.0,0.0
2016-03-22,594.6853196179632,598.4067598021328,569.4392447285213,571.8610229492188,5177515,0.0,0.0
2016-03-23,572.2442864024414,575.7506852161818,566.8210676512481,569.9815063476562,2024905,0.0,0.0
2016-03-28,568.1301151059251,574.9652532251835,563.6606548889227,567.690673828125,1902365,0.0,0.0
2016-03-29,566.6340424392813,566.6340424392813,539.9199521048886,550.0464477539062,2533990,0.0,0.0
2016-03-30,555.6192647773689,565.9421396207731,547.082404795886,563.9505004882812,1805565,0.0,0.0
2016-03-31,565.1380447938985,572.8053250478519,561.6783863228018,567.6065063476562,3311230,0.0,0.0
2016-04-01,564.8014118919407,565.9141115202932,554.5066717852765,557.2743530273438,1585615,0.0,0.0
2016-04-04,562.5198506086642,569.3082478402287,560.4628089617722,563.2211303710938,1532140,0.0,0.0
2016-04-05,561.9589468927593,568.5042258083156,559.5465281127694,561.0051879882812,1418750,0.0,0.0
2016-04-06,562.7068408549106,568.5040980052061,555.4322621721187,561.294921875,1148040,0.0,0.0
2016-04-07,561.9588942840777,575.0494508896968,561.9588942840777,567.7094116210938,1792820,0.0,0.0
2016-04-08,570.3741738243205,577.7516501957374,566.6901154023813,568.3451538085938,1104765,0.0,0.0
2016-04-11,566.4750513948818,567.5690317366707,560.088715008675,566.4937133789062,1142755,0.0,0.0
2016-04-12,570.3741592259805,579.3505166086347,570.3741592259805,576.4986572265625,1435325,0.0,0.0
2016-04-13,579.7246456977749,583.9697056225774,576.9288859731573,579.6311645507812,1819860,0.0,0.0
2016-04-18,580.4726241413745,581.4076638249368,565.1192885169647,578.0509033203125,2260020,0.0,0.0
