tradingsymbol,exchange,instrument_token,isin,product,price,quantity,used_quantity,t1_quantity,realised_quantity,authorised_quantity,authorised_date,opening_quantity,short_quantity,collateral_quantity,collateral_type,discrepancy,average_price,last_price,close_price,pnl,day_change,day_change_percentage,mtf_quantity,mtf_used_quantity,mtf_average_price,mtf_value,mtf_initial_margin
EMMVEE,BSE,139419652,INE1C6T01020,CNC,0,207,0,0,207,0,2026-02-12 00:00:00,207,0,0,,False,217.0,208.8,206.2,-1697.3999999999976,2.6000000000000227,1.2609117361784785,0,0,0,0,0
JSWCEMENT,BSE,139386884,INE718I01012,CNC,0,102,0,0,102,0,2026-02-12 00:00:00,102,0,0,,False,147.0,119.65,118.6,-2789.6999999999994,1.0500000000000114,0.8853288364249675,0,0,0,0,0
PINELABS,NSE,194513921,INE15B701018,CNC,0,76,0,0,76,0,2026-02-12 00:00:00,76,0,0,,False,221.0,203.33,208.76,-1342.9199999999992,-5.429999999999978,-2.6010730024908884,0,0,0,0,0
SHILPAMED,NSE,4544513,INE790G01031,CNC,0,10,0,0,10,0,2026-02-12 00:00:00,10,0,0,,False,318.9,323.15,331.5,42.5,-8.350000000000023,-2.5188536953242906,0,0,0,0,0
TATACAP,NSE,194371841,INE976I01016,CNC,0,46,0,0,46,0,2026-02-12 00:00:00,46,0,0,,False,326.0,356.9,357.6,1421.399999999999,-0.7000000000000455,-0.1957494407158964,0,0,0,0,0
WEWORK,NSE,194415105,INE085001019,CNC,0,46,0,0,46,0,2026-02-12 00:00:00,46,0,0,,False,648.0,575.1,582.1,-3353.3999999999987,-7.0,-1.202542518467617,0,0,0,0,0
