Date,Zone,Currency,Importance,Event,Actual,Forecast,Previous
11/02/2026,China,CNY,Medium,Cpi (Yoy)  (Jan),,0.4%,0.8%
11/02/2026,China,CNY,Medium,Cpi (Mom)  (Jan),,,0.2%
11/02/2026,China,CNY,Medium,Ppi (Yoy)  (Jan),,-1.5%,-1.9%
14/02/2026,China,CNY,Medium,New Loans  (Jan),,,910.0B
20/02/2026,China,CNY,Medium,China Loan Prime Rate 5Y  (Feb),,,3.50%
