Date,Zone,Currency,Importance,Event,Actual,Forecast,Previous
12/02/2026,India,INR,High,Core Inflation (Yoy) (Jan),,,1.50%
12/02/2026,India,INR,Medium,Cpi (Yoy)  (Jan),,,1.33%
16/02/2026,India,INR,Low,Industrial Production (Yoy) (Dec),,,0.5%
16/02/2026,India,INR,Medium,Wpi Inflation (Yoy)  (Jan),,,0.83%
