Date,Zone,Currency,Importance,Event,Actual,Forecast,Previous
12/02/2026,India,INR,Medium,Cpi (Yoy)  (Jan),,,1.33%
16/02/2026,India,INR,Medium,Wpi Inflation (Yoy)  (Jan),,,0.83%
