Date,Zone,Currency,Importance,Event,Actual,Forecast,Previous
07/02/2026,United Kingdom,GBP,Medium,Cftc Gbp Speculative Net Positions,-13.9K,,-16.2K
07/02/2026,Euro Zone,EUR,Medium,Cftc Eur Speculative Net Positions,163.4K,,132.1K
08/02/2026,United Kingdom,GBP,Medium,Boe Gov Bailey Speaks,,,
09/02/2026,Switzerland,CHF,Medium,Seco Consumer Climate  (Q1),,-30,-37
09/02/2026,Euro Zone,EUR,Medium,Ecb'S Lane Speaks,,,
09/02/2026,Germany,EUR,Medium,German Buba President Nagel Speaks,,,
09/02/2026,Euro Zone,EUR,Medium,Ecb President Lagarde Speaks,,,
10/02/2026,Germany,EUR,Medium,German Buba Balz Speaks,,,
10/02/2026,United Kingdom,GBP,Medium,Brc Retail Sales Monitor (Yoy)  (Jan),,1.2%,1.0%
10/02/2026,United Kingdom,GBP,Medium,Boe Mpc Member Mann Speaks,,,
10/02/2026,United Kingdom,GBP,Medium,Boe Mpc Member Mann Speaks,,,
11/02/2026,Germany,EUR,Medium,German Buba Vice President Buch Speaks,,,
11/02/2026,Euro Zone,EUR,Medium,Ecb'S Schnabel Speaks,,,
11/02/2026,Euro Zone,EUR,Medium,Ecb Supervisory Board Member Tuominen Speaks,,,
12/02/2026,United Kingdom,GBP,Medium,Monthly Gdp 3M/3M Change  (Dec),,,0.1%
12/02/2026,United Kingdom,GBP,Medium,Niesr Monthly Gdp Tracker  (Jan),,,-0.1%
12/02/2026,United Kingdom,GBP,Medium,Trade Balance Non-Eu  (Dec),,,-11.46B
12/02/2026,United Kingdom,GBP,Medium,Trade Balance  (Dec),,-22.00B,-23.71B
12/02/2026,United Kingdom,GBP,Medium,Manufacturing Production (Mom)  (Dec),,-0.1%,2.1%
12/02/2026,United Kingdom,GBP,High,Gdp (Mom)  (Dec),,0.1%,0.3%
12/02/2026,United Kingdom,GBP,High,Gdp (Yoy)  (Q4),,,1.3%
12/02/2026,United Kingdom,GBP,High,Gdp (Qoq)  (Q4),,0.2%,0.1%
12/02/2026,United Kingdom,GBP,Medium,Business Investment (Qoq)  (Q4),,0.2%,1.5%
12/02/2026,United Kingdom,GBP,Medium,Industrial Production (Mom)  (Dec),,0.0%,1.1%
13/02/2026,Euro Zone,EUR,Medium,Ecb'S De Guindos Speaks,,,
13/02/2026,Euro Zone,EUR,Medium,Ecb'S Lane Speaks,,,
13/02/2026,Germany,EUR,Medium,German Buba President Nagel Speaks,,,
13/02/2026,Switzerland,CHF,Medium,Cpi (Mom)  (Jan),,0.0%,0.0%
13/02/2026,Spain,EUR,Medium,Spanish Cpi (Yoy)  (Jan),,2.4%,2.4%
13/02/2026,Spain,EUR,Medium,Spanish Hicp (Yoy)  (Jan),,2.5%,2.5%
13/02/2026,Euro Zone,EUR,Medium,Gdp (Qoq)  (Q4),,0.3%,0.3%
13/02/2026,Euro Zone,EUR,Medium,Gdp (Yoy)  (Q4),,1.3%,1.4%
13/02/2026,Euro Zone,EUR,Medium,Trade Balance  (Dec),,10.2B,9.9B
13/02/2026,United Kingdom,GBP,Medium,Boe Mpc Member Pill Speaks,,,
14/02/2026,Euro Zone,EUR,Medium,Ecb President Lagarde Speaks,,,
14/02/2026,Euro Zone,EUR,Medium,Cftc Eur Speculative Net Positions,,,163.4K
14/02/2026,United Kingdom,GBP,Medium,Cftc Gbp Speculative Net Positions,,,-13.9K
15/02/2026,Euro Zone,EUR,Medium,Ecb President Lagarde Speaks,,,
16/02/2026,Euro Zone,EUR,Medium,Industrial Production (Mom)  (Dec),,,0.7%
17/02/2026,United Kingdom,GBP,Medium,Average Earnings Index +Bonus  (Dec),,,4.7%
17/02/2026,United Kingdom,GBP,Medium,Claimant Count Change  (Jan),,,17.9K
17/02/2026,United Kingdom,GBP,Medium,Employment Change 3M/3M (Mom)  (Dec),,,82K
17/02/2026,United Kingdom,GBP,Medium,Unemployment Rate  (Dec),,,5.1%
17/02/2026,Germany,EUR,High,German Cpi (Mom)  (Jan),,,0.1%
17/02/2026,Germany,EUR,Medium,German Cpi (Yoy)  (Jan),,,2.1%
17/02/2026,United Kingdom,GBP,Medium,Labour Productivity  (Q3),,,-0.6%
17/02/2026,Germany,EUR,Medium,German Zew Current Conditions  (Feb),,,-72.7
17/02/2026,Germany,EUR,Medium,German Zew Economic Sentiment  (Feb),,,59.6
