Symbol,Volume (Contracts) - Futures,Volume (Contracts) - Options,Volume (Contracts) - Total,Value (₹ Lakhs) - Futures,Value (₹ Lakhs) - Options (Premium),Value (₹ Lakhs) - Total,Open Interest (Contracts),Underlying,underlying
NIFTY,66613,349434430,349501043,1126500.6896195,588820011021112.0,6557745.485739499,5431244.79612,10271041,25935.15
BSE,40698,371674,412372,481776.5442375,447929460420.0,600757.3359375,118980.7917,78044,3172.0
BANKNIFTY,18077,1836028,1854105,329697.369822,3353032611294.3,528998.622765,199301.252943,1052917,60626.4
TATASTEEL,19311,181671,200982,220717.82645,210998620250.0,260781.28395,40063.4575,86823,207.85
ETERNAL,28468,307067,335535,208645.5185675,232156524455.5,250752.5943725,42107.075805,160607,303.85
SBIN,22278,278159,300437,191034.430425,240596077455.0,218846.567475,27812.13705,256458,1142.2
AUROPHARMA,26777,183186,209963,169766.35764,120161492946.0,192451.6671,22685.30946,71449,1131.7
HDFCBANK,34017,182027,216044,175792.95943,95459882358.5,185334.840515,9541.881085,641354,932.6
INFY,24968,194241,219209,150628.86928,121286643068.0,166353.61996,15724.75068,368041,1495.0
ICICIBANK,15603,80077,95680,153423.27315,79291779553.0,160275.71868,6852.44553,259730,1404.1
MOTHERSON,17926,88967,106893,141881.9514,72433868089.5,160242.329295,18360.377895,46939,129.8
TCS,27695,209746,237441,145191.4291975,112729553931.75,159887.263515,14695.8343175,330467,2983.0
TITAN,15531,184765,200296,116556.739285,142855409844.0,142473.692725,25916.95344,112937,4293.8
MCX,7603,45561,53164,117560.0445,72400039275.0,137487.56225,19927.51775,64744,2471.3
AMBER,15052,146951,162003,110795.46424,110359920946.0,136341.2737,25545.80946,29602,7486.5
ADANIENT,16178,97005,113183,111438.8441265,67510912176.87,125367.9968952,13929.152768699998,112403,2227.3
MARUTI,11169,241551,252720,85132.97694,187238557831.0,102765.90525,17632.92831,153226,15136.0
SWIGGY,20817,57716,78533,94085.2783,26782115724.0,100934.62054,6849.34224,40991,354.1
RELIANCE,11693,114899,126592,85595.30945,84897884470.0,93897.90415,8302.5947,391580,1456.2
VEDL,10289,61708,71997,81269.24351,50366514752.5,93393.973535,12124.730025,153338,687.3
INDUSTOWER,11029,45695,56724,85844.37317,36281792173.0,92985.4049,7141.03173,67622,458.9
MIDCPNIFTY,3661,222251,225912,61211.000556000006,371254964402.4,90363.73458,29152.734024,139222,13953.1
DIXON,13254,96764,110018,77541.16043,58073707019.5,89990.380625,12449.220195,125676,11589.0
POLICYBZR,15543,59099,74642,81985.22815,32425283418.5,89610.492335,7625.264185,47796,1514.0
M&M,10062,95892,105954,73880.57444,72009301684.0,84937.49128,11056.91684,140904,3677.0
