"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"IIFL",1940,7576,9516,21103.8729,1475.901405,22579.774305,12985,655.7
"NTPC",4021,25359,29380,21050.95155,1367.0817,22418.03325,101111,349
"IRCTC",3550,20179,23729,20894.564075,1504.8226375,22399.3867125,65172,672.95
"NESTLEIND",3199,11134,14333,21205.66215,981.7963,22187.45845,47472,1317.2
"GAIL",3963,12849,16812,21114.50607,963.907875,22078.413945,50748,168.5
"PETRONET",3603,12929,16532,20210.03647,1193.14927,21403.18574,40476,292.4
"BAJAJFINSV",3786,24017,27803,19275.3586,1859.567625,21134.926225,101203,2030.9
"BLUESTARCO",3346,8952,12298,19837.10404,1051.72171,20888.82575,10934,1834.2
"GRASIM",2830,7286,10116,20223.51465,640.259525,20863.774175,75585,2830
"HDFCLIFE",2326,8948,11274,19868.79444,886.61265,20755.40709,47973,773.7
"MOTHERSON",2670,6679,9349,19797.036345,891.04521,20688.081555,42687,119.17
"ALKEM",2611,13910,16521,18915.9006,1737.1989375,20653.0995375,14934,5792
"PGEL",3235,9867,13102,19268.813235,1329.231545,20598.04478,24161,621
"EXIDEIND",2996,8909,11905,19499.41944,873.64494,20373.06438,31981,359.9
"MFSL",2742,8786,11528,19121.20096,960.4176,20081.61856,28591,1726
"NYKAA",2270,5525,7795,19014.1371875,799.3284375,19813.465625,20478,266.3
"SRF",2962,12750,15712,18332.86598,1451.88758,19784.75356,27333,3090
"TATACONSUM",2684,16209,18893,17971.11778,1672.04587,19643.16365,33903,1210.3
"INDIANB",2123,4283,6406,18297.052,624.4769,18921.5289,17370,861
"DABUR",2675,11475,14150,17517.01025,975.7335,18492.74375,38374,520.25
"MARICO",1840,8259,10099,17152.99092,975.70632,18128.69724,34781,772
"BANKINDIA",2233,2905,5138,17616.222,472.70288,18088.92488,16591,151.35
"PRESTIGE",2242,7411,9653,16456.920525,916.056495,17372.97702,14265,1617.5
"HDFCAMC",1923,7753,9676,15242.23134,974.93046,16217.1618,31591,2627.1
"CONCOR",2277,6585,8862,15165.33775,757.461125,15922.798875,45302,533.65
"KFINTECH",2868,3430,6298,15221.0096,273.85875,15494.86835,13203,1070.1
"KEI",1848,5040,6888,14794.09946,691.08634,15485.1858,9869,4544.9
"IRFC",2587,8535,11122,14136.098825,1077.67505,15213.773875,42698,128
"INOXWIND",3287,7158,10445,14484.802475,583.257675,15068.06015,39222,123
"BANDHANBNK",2647,6411,9058,14111.66844,670.09752,14781.76596,54632,147.6
"BPCL",1849,9022,10871,13531.2106525,1129.085775,14660.2964275,27760,368
"JSWENERGY",2736,5790,8526,14057.3932,478.5664,14535.9596,52037,511.85
"SUPREMEIND",2161,4924,7085,13727.68467,574.4360825,14302.1207525,17442,3633
"IOC",1646,9377,11023,13129.4479875,1113.2472,14242.6951875,38880,162.5
"PIDILITIND",1796,4753,6549,13589.4114,573.65445,14163.06585,19498,1511
"COLPAL",2868,8510,11378,13459.378275,519.92397,13979.302245,49839,2075
"ADANIGREEN",2052,6546,8598,12577.3671,841.57152,13418.93862,57274,1018.9
"PREMIERENE",2838,9850,12688,12317.9477925,1010.5799225,13328.527715,17347,750
"CGPOWER",2305,7354,9659,12551.32627,701.442525,13252.768795,29451,637
"ICICIGI",1932,7202,9134,12489.128145,658.6495825,13147.7777275,21577,1967.2
"HUDCO",1897,5593,7490,11969.394735,728.172765,12697.5675,26754,226.8
"PHOENIXLTD",1788,2356,4144,12198.48315,232.929165,12431.412315,14127,1937.9
"NHPC",2195,5473,7668,11722.44352,468.53312,12190.97664,18509,83.54
"PIIND",1972,7659,9631,11362.7463075,800.51972,12163.2660275,19319,3290
"SIEMENS",1908,13337,15245,10437.5352725,1143.8098875,11581.34516,24269,3131.8
"OBEROIRLTY",1811,2983,4794,10875.66256,304.97019,11180.63275,17071,1714.2
"LICHSGFIN",1929,8031,9960,10425.6279,705.6335,11131.2614,48705,538
"OIL",1701,11798,13499,9973.5461,1063.5338,11037.0799,15491,418.95
