Symbol,Volume (Contracts) - Futures,Volume (Contracts) - Options,Volume (Contracts) - Total,Value (₹ Lakhs) - Futures,Value (₹ Lakhs) - Options (Premium),Value (₹ Lakhs) - Total,Open Interest (Contracts),Underlying,underlying
NIFTY,118459,48179918,48298377,1958073.3257865,79818987361829.95,6228951.366586,4270878.0407995,5380737,25342.75
BANKNIFTY,34563,1820890,1855453,620227.6438740001,3293264820723.6,957902.85111,337675.207236,614058,59598.8
BEL,65989,378433,444422,417169.7268375,245258123229.75,493920.849135,76751.1222975,146408,454.25
MARUTI,51057,426349,477406,382815.405715,330101853699.0,439327.742705,56512.33699,125634,14880.0
HINDZINC,36261,194951,231212,317290.7437,182330919366.75,385698.8698675,68408.1261675,79219,703.9
VEDL,33360,198049,231409,281449.850345,172715674024.5,334042.88809,52593.037745,110455,736.5
MCX,16278,86144,102422,262076.877,142199366650.0,310186.7935,48109.9165,41258,2602.0
HDFCBANK,53824,192025,245849,277920.749755,101153853278.5,296076.31504,18155.565285,596394,932.4
AXISBANK,26903,145832,172735,225945.75275,124937941362.5,247196.916375,21251.163625,178287,1314.0
ETERNAL,29365,90774,120139,187280.8873575,60462383525.5,203170.3763625,15889.489005,185544,266.7
HINDALCO,26368,80111,106479,183378.86063,57250372914.0,199828.13977,16449.27914,86936,1003.0
ICICIBANK,19653,73623,93276,189358.26574,72073616846.0,198981.8642,9623.59846,232351,1368.3
RELIANCE,24458,156686,181144,171799.7574,113882868805.0,190571.94545,18772.18805,373772,1398.5
TVSMOTOR,25625,131806,157431,164029.51369,86952168208.5,183697.155775,19667.642085,65637,3735.1
SBIN,20073,101491,121564,159759.7542,82237590907.5,177577.363275,17817.609075,143558,1062.65
HAL,22502,123731,146233,153364.323825,88398995935.5,177092.35818,23728.034355,97623,4633.0
ONGC,25628,139412,165040,152122.04145,84932655840.0,176278.60485,24156.5634,65786,268.23
ASIANPAINT,23785,174176,197961,148467.610925,113462001825.0,167422.529175,18954.91825,91185,2512.0
NATIONALUM,9422,35400,44822,140098.495875,54389403862.5,160580.6595,20482.163625,24082,407.7
MIDCPNIFTY,6948,227983,234931,111038.506956,367971304586.4,159034.50282,47995.995864,85941,13381.9
BHARTIARTL,14987,37006,51993,140240.327245,35875266907.5,145922.64632,5682.319075,138966,1956.0
INFY,19718,75503,95221,131960.20056,51653220116.0,139819.12172,7858.92116,201418,1666.0
M&M,17238,50703,67941,118752.10994,35817673686.0,126564.3468,7812.23686,117154,3450.3
LT,17351,76390,93741,115927.8334375,52890061028.0,126101.0737175,10173.24028,131507,3796.9
CANBK,10523,29112,39635,110606.8986,31663223865.0,120151.05975,9544.16115,37369,157.8
BSE,8946,39767,48713,94983.36435,43950202357.5,111152.012925,16168.648575,45531,2820.0
TATASTEEL,8979,42098,51077,96237.96985,46228215000.0,107634.84985,11396.88,69300,193.85
COALINDIA,15702,87931,103633,92252.24541,53326302169.5,103805.674605,11553.429195,53344,445.2
OIL,13121,54317,67438,88728.76446,38442987926.0,103480.59372,14751.82926,18341,492.8
ASHOKLEY,9807,24096,33903,93744.1275,24349835800.0,99979.3605,6235.233,45406,195.95
EICHERMOT,11676,57073,68749,81910.64362,40795780965.0,90578.70327,8668.05965,45387,7095.0
IDEA,11742,30151,41893,83966.356965,24790269636.75,90397.1985825,6430.8416175,128571,10.06
TCS,15144,57919,73063,84859.8898,32987226912.5,89408.978925,4549.089125,166046,3199.0
CGPOWER,14443,89014,103457,69538.310535,44844769166.0,83170.712195,13632.40166,35669,581.95
TATACONSUM,12132,62022,74154,75881.51395,39874651256.0,82781.68151,6900.16756,35975,1133.4
DLF,14877,37449,52326,76196.8735275,19927840894.5,81140.9224725,4944.048945,95522,626.4
BHEL,10403,40306,50709,69876.474675,28749850552.5,76988.4927,7112.018025,53281,260.25
ITC,13321,81471,94792,68773.5336,44357217136.0,76449.22496,7675.69136,210963,321.4
SHRIRAMFIN,8025,26545,34570,67237.1159625,22757327373.0,72740.2721925,5503.15623,69830,1017.0
DIXON,12161,49279,61440,62480.873645,27348579400.5,71789.71765,9308.844005,96362,10274.0
SBILIFE,8364,39504,47868,64737.0888,31425812550.0,70528.4643,5791.3755,35723,2053.0
INDIGO,9209,29914,39123,66111.866175,22094808580.5,70281.15198,4169.285805,83458,4757.0
ADANIENT,9634,48475,58109,59337.254519099995,31168585429.59,70222.547415,10885.292895899998,101010,1995.0
HINDUNILVR,9273,27710,36983,66081.60522,20233636800.0,69616.55322,3534.948,61744,2386.0
PFC,12933,39297,52230,63089.29861,19907654949.0,68579.5331,5490.23449,75057,383.95
BAJFINANCE,8910,33818,42728,62434.9164,25182573352.5,67469.624925,5034.708525,154600,936.0
JIOFIN,10299,41410,51709,62196.48791,26846885604.0,67095.1602,4898.67229,111317,255.95
BAJAJ-AUTO,8573,38845,47418,60295.42962,27906715464.75,65393.1342675,5097.7046475,57174,9469.0
RVNL,10832,51605,62437,53994.834725,28072828971.0,65060.348185,11065.51346,51809,344.15
RECLTD,11223,40755,51978,58191.4438,21999524218.0,64556.55598,6365.11218,84479,377.5
SBICARD,9735,22961,32696,61123.79704,15137775816.0,64312.1152,3188.31816,30691,784.5
KOTAKBANK,7359,25383,32742,60657.2962,21566139280.0,63740.799,3083.5028,119085,411.4
PAYTM,6778,17508,24286,57762.5931675,15792861288.75,62409.676055,4647.0828875,37337,1178.9
TECHM,5513,20928,26441,58199.3589,22558558962.0,62405.94852,4206.58962,41315,1760.0
BANKBARODA,6499,16609,23108,58041.758385,15358321221.75,62177.6531025,4135.8947175,43707,306.0
HEROMOTOCO,6931,24846,31777,56322.91827,21050974881.0,60709.26708,4386.34881,34360,5510.0
SAIL,7575,14465,22040,55732.36171,11176481466.0,59573.99037,3841.62866,51032,155.46
SOLARINDS,7701,32154,39855,52415.242875,23190655862.5,59116.1015,6700.858625,25224,13969.0
UNIONBANK,6526,26520,33046,51979.8108075,22053624528.75,58353.578595,6373.7677875,27437,182.2
INDUSINDBK,8436,24033,32469,52901.18288,15553934683.0,56670.86971,3769.68683,68046,901.0
PNB,5356,15028,20384,53120.8888,15500277680.0,56459.8256,3338.9368,44332,124.6
ABB,7732,51234,58966,48240.029875,33322214978.75,56209.1171625,7969.0872875,26455,5035.0
SAMMAANCAP,8608,17193,25801,52959.08466,10935053295.0,55931.70261,2972.61795,30292,141.75
BDL,8701,33745,42446,46969.53912,19105565370.5,54570.872825,7601.333705,24910,1574.9
ADANIPORTS,7542,25612,33154,49543.98067,17356111844.25,53785.9341125,4241.9534425,74015,1379.6
JINDALSTEL,6962,20141,27103,48355.4173125,14504840656.25,52517.386375,4161.9690625,24783,1122.0
MARICO,5407,25649,31056,47974.54368,23331263184.0,52071.51552,4096.97184,29561,735.15
MAZDOCK,8704,46304,55008,42972.48234,24155665672.0,51646.13906,8673.65672,36355,2510.5
JSWSTEEL,5734,22412,28146,47409.2409375,19088648122.5,50931.3146625,3522.073725,85769,1218.4
PERSISTENT,7646,18194,25840,47763.63733,11806439147.0,50520.8288,2757.19147,29362,6195.0
TMPV,15399,71106,86505,42158.67072,20550590032.0,49234.53104,7075.86032,151903,341.1
