Symbol,Volume (Contracts) - Futures,Volume (Contracts) - Options,Volume (Contracts) - Total,Value (₹ Lakhs) - Futures,Value (₹ Lakhs) - Options (Premium),Value (₹ Lakhs) - Total,Open Interest (Contracts),Underlying,underlying
NIFTY,73363,51278979,51352342,1227805.313839,85962687451404.4,4172414.5903829997,2944609.276544,8013972,25642.8
BANKNIFTY,17701,1690322,1708023,320160.352464,3076184753753.1,550621.549995,230461.19753099998,885775,60063.65
HAL,46259,263796,310055,278467.221495,168935254315.5,324275.53965,45808.318155,172186,4030.0
INFY,31286,247195,278481,192419.85764,155278879216.0,214487.4498,22067.59216,330469,1520.0
TRENT,43808,387835,431643,178356.7313,163872689547.0,213397.87677,35041.14547,148810,4132.0
MCX,11576,63579,75155,176099.3808125,100670582275.0,207794.8285625,31695.44775,61162,2425.0
POLICYBZR,33564,146844,180408,180414.35398,82729928228.5,203711.066265,23296.712285,46787,1543.9
DIXON,27118,209276,236394,154194.367645,123263818355.5,182708.9512,28514.583555,120598,11354.0
BHARTIARTL,17543,89860,107403,167775.3829375,87794304686.75,178676.229805,10900.8468675,157144,1992.2
VEDL,20132,98810,118942,151691.313385,78878024072.5,171235.40411,19544.090725,159440,655.7
CUMMINSIND,16885,122530,139415,144221.4869,108648577822.0,166273.96512,22052.47822,28666,4366.0
MIDCPNIFTY,7758,215417,223175,127314.66312,356763774747.6,163925.470596,36610.807476,126975,13700.5
PFC,25480,111336,136816,136131.55257,61509569836.0,152390.21343,16258.66086,93297,414.75
SBIN,16305,109548,125853,131542.732125,89990160240.0,146525.072025,14982.3399,179218,1072.9
AXISBANK,16194,93240,109434,134410.492875,79246546862.5,142860.3365,8449.843625,181689,1331.6
HINDZINC,15684,95440,111124,116607.78234,76002841367.25,137689.6747625,21081.8924225,118402,610.4
KOTAKBANK,15783,32471,48254,129384.2742,27347913480.0,133867.979,4483.7048,142417,411.65
ICICIBANK,12548,68541,81089,123609.74605,67952821566.0,129666.91171,6057.16566,250008,1394.6
TCS,20887,216081,236968,110251.3361075,117150579119.0,126228.9772975,15977.64119,309330,2991.7
RELIANCE,15051,142442,157493,109262.4633,104720000105.0,121350.91435,12088.45105,390919,1441.9
TATASTEEL,9775,42482,52257,105632.8768,47010037305.0,115680.08485,10047.20805,79123,197.6
IOC,11728,60608,72336,100441.2123,53206516593.75,111811.3332375,11370.1209375,43477,175.87
BSE,7598,39946,47544,81994.767225,44432743222.5,95543.57445,13548.807225,58020,2892.0
NATIONALUM,5839,24283,30122,78247.901625,34969003125.0,87285.495375,9037.59375,40604,364.4
TMPV,25526,134686,160212,75951.53632,41205539080.0,85223.20712,9271.6708,185167,375.6
HDFCBANK,14953,88363,103316,78420.821215,46900253125.0,83829.177465,5408.35625,593659,949.7
INDIGO,10197,64500,74697,74672.1297,47889731521.5,82954.344915,8282.215215,97389,4930.0
KAYNES,19174,81238,100412,69612.35417,31563166158.0,81215.26575,11602.91158,81233,3599.0
HINDALCO,11449,35983,47432,75025.21754,24488432171.0,80997.36925,5972.15171,93142,936.0
RECLTD,13554,54562,68116,71975.58578,30242347688.0,78590.96266,6615.37688,114230,381.95
NYKAA,8633,32565,41198,69915.38625,27465106281.25,77180.3553125,7264.9690625,22048,261.45
BEL,10728,84546,95274,66250.089675,54457027122.75,75731.8634025,9481.7737275,185287,432.5
