"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"NIFTY",66853,57203880,57270733,1285341.896441,2960945.8030979997,4246287.699539,6716616,25509.7
"BANKNIFTY",21747,1992862,2014609,440270.76608,301091.032405,741361.798485,891708,57554.25
"HINDALCO",61389,210601,271990,338015.20956,24261.21159,362276.42115,160831,786.55
"SBIN",45387,293614,339001,328731.33285,27741.945825,356473.278675,228016,959.85
"ICICIBANK",30974,119463,150437,289019.39297,11038.36062,300057.75359,304488,1320.3
"RELIANCE",33265,233105,266370,249348.27735,21154.14885,270502.4262,351832,1494.8
"PAYTM",19674,90364,110038,188226.9482525,19834.5502175,208061.49847,49734,1321.9
"UPL",18708,81860,100568,185900.4148255,14872.428374500001,200772.8432,44292,729
"HDFCBANK",31912,126420,158332,173619.40167,8065.80665,181685.20832,491299,987.5
"BHARTIARTL",17060,84264,101324,170773.872925,8412.5409375,179186.4138625,138372,2095
"INDIGO",17648,103872,121520,152920.05564,13321.24956,166241.3052,79850,5684
"M&M",20518,131136,151654,149780.6105,15645.16978,165425.78028,142724,3615.1
"ASIANPAINT",21334,157571,178905,139002.792,16915.64305,155918.43505,86520,2602.1
"ASTRAL",21373,125176,146549,140287.656615,15442.67947,155730.336085,34437,1572
"GRASIM",20664,103567,124231,141821.5332,8591.626925,150413.160125,93485,2697
"DELHIVERY",14188,68237,82425,133082.4222325,11060.2187425,144142.640975,23669,436.4
"MIDCPNIFTY",5552,190769,196321,104482.044048,34330.294656,138812.338704,105714,13368.1
"CHOLAFIN",12357,46754,59111,129633.9638125,8910.738,138544.7018125,36415,1675
"KAYNES",18863,110990,129853,122386.70829,12544.58117,134931.28946,48509,6325
"ADANIENT",15851,139383,155234,112057.16112,20503.17264,132560.33376,136238,2311
"INFY",20752,63713,84465,121312.12952,4398.3212,125710.45072,277436,1466.5
"ETERNAL",15177,77520,92697,113628.1175725,9250.2902975,122878.40787,165671,305.3
"INDHOTEL",15896,67998,83894,113632.7208,5962.906,119595.6268,50741,697
"LT",14809,71766,86575,101950.0350225,4817.970395,106768.0054175,140530,3893
"SHRIRAMFIN",13202,50325,63527,86288.1748575,6455.6594025,92743.83426,98888,791.95
"MARUTI",10191,136982,147173,78940.840185,8570.237195,87511.07738,160689,15449
"BRITANNIA",9845,75535,85380,75108.923125,7541.876425,82650.79955,42313,6016
"DIVISLAB",11107,42531,53638,76370.58973,6198.90971,82569.49944,62905,6875
"BLUESTARCO",12172,48822,60994,74762.31828,5113.72212,79876.0404,13714,1792
"INDUSTOWER",10532,57951,68483,71405.82556,7673.78623,79079.61179,86844,399
"TCS",13702,77163,90865,72476.495595,4780.2042225,77256.6998175,298492,3010
"BSE",7417,37794,45211,68447.8018125,8417.0225625,76864.824375,65986,2458
"MCX",5630,46529,52159,65504.4389625,10674.64375,76179.0827125,49160,9233
"BAJFINANCE",8695,27783,36478,68488.620825,4552.449525,73041.07035,154459,1042.5
"LUPIN",8050,33460,41510,67674.8377275,5234.6779525,72909.51568,50343,1970
"ZYDUSLIFE",7790,38264,46054,67559.39028,4819.67928,72379.06956,20313,934.8
"TATASTEEL",6781,36427,43208,66779.72345,5328.1932,72107.91665,76359,177.35
"ADANIPORTS",9413,57815,67228,65054.687765,6737.2686625,71791.9564275,85603,1435.7
"GODREJPROP",10572,59744,70316,65260.45636,6406.59811,71667.05447,42403,2193.5
"ITC",10336,61780,72116,68002.39296,3651.87616,71654.26912,155657,408.5
"SUNPHARMA",10830,67793,78623,64431.23778,4762.101225,69193.339005,67900,1686
"BEL",10666,71940,82606,62681.8202775,6061.937175,68743.7574525,156928,408.8
"IDEA",9170,32014,41184,61524.321975,5341.9056975,66866.2276725,148702,9.25
"KOTAKBANK",7640,28944,36584,64111.83772,2190.12492,66301.96264,137555,2080
"AXISBANK",8226,25754,33980,63599.720875,2323.3085,65923.029375,152041,1227.7
"HEROMOTOCO",7648,31400,39048,61679.99085,3934.364715,65614.355565,57510,5322
"DABUR",8780,57760,66540,57084.50775,5189.9175,62274.42525,43841,523.15
"RECLTD",12452,46520,58972,58380.4638825,3524.14995,61904.6138325,130183,362.8
"TITAN",8441,64172,72613,56286.7229575,5321.098825,61607.8217825,100668,3770
"RBLBANK",5724,7939,13663,59802.240695,1717.327655,61519.56835,31221,325.5
"INDUSINDBK",10358,26026,36384,57274.74193,2654.03446,59928.77639,116677,786.55
"POLICYBZR",8923,34290,43213,55225.691815,3853.711365,59079.40318,35562,1756.6
"PFC",10873,34920,45793,54914.00057,3649.47414,58563.47471,92858,387.5
"HAL",7735,36448,44183,53757.596205,4182.508365,57940.10457,114120,4590
"PNB",5598,18878,24476,54693.9504,3185.3304,57879.2808,48400,120.7
"VOLTAS",10692,27309,38001,52304.5804875,2830.5914625,55135.17195,52671,1299
"AUROPHARMA",8134,37774,45908,51086.321385,3529.096725,54615.41811,61715,1135
"SUZLON",10493,30465,40958,50581.398645,3391.65858,53973.057225,76278,59.5
"CANBK",5180,24470,29650,48999.354975,4773.87945,53773.234425,60841,139.1
"CUMMINSIND",5744,19024,24768,49653.95696,3350.7366,53004.69356,23706,4314.6
"JIOFIN",6979,33568,40547,49371.778155,3290.10011,52661.878265,111469,297.95
"POWERGRID",9709,63021,72730,49567.97007,3014.46134,52582.43141,87101,270.25
"PPLPHARMA",9491,27642,37133,48434.502,3086.301,51520.803,16338,200.6
"VEDL",8091,29745,37836,47434.901,3616.25389,51051.15489,142417,505
"ASHOKLEY",6811,18429,25240,47399.554,2604.3235,50003.8775,48276,140.4
"EICHERMOT",3906,11888,15794,46937.254775,2088.034025,49025.2888,33445,6810
"BANKBARODA",5457,22223,27680,46001.9117025,2899.819845,48901.7315475,62184,286
"LAURUSLABS",5060,27570,32630,42548.235205,5018.700985,47566.93619,43553,977.8
"BIOCON",4461,13630,18091,43007.14775,2868.10475,45875.2525,26873,385
"ADANIGREEN",6196,53970,60166,39753.42726,5895.1929,45648.62016,67786,1062
"DLF",6632,33563,40195,41893.317345,3251.54511,45144.862455,70925,758.9
"ABB",6203,26672,32875,40803.245925,2999.820675,43803.0666,33650,5205
"PIIND",6089,23086,29175,40043.8124275,3516.419725,43560.2321525,17978,3740
"TRENT",8432,27745,36177,39632.84988,2886.09167,42518.94155,121731,4674
"MANAPPURAM",4789,17050,21839,39489.1149,2424.3339,41913.4488,22296,274
"TVSMOTOR",6395,39372,45767,38805.2217,2826.39749,41631.61919,90324,3452
"WIPRO",5508,17047,22555,39716.8866,1747.536,41464.4226,85117,240.05
"BAJAJ-AUTO",5885,25602,31487,38806.98762,2546.4594675,41353.4470875,73950,8713
"BHEL",5355,33722,39077,37030.5061875,4258.701825,41289.2080125,48766,260
"BHARATFORG",6013,8671,14684,39426.9991,1330.9943,40757.9934,29114,1316
