Symbol,Volume (Contracts) - Futures,Volume (Contracts) - Options,Volume (Contracts) - Total,Value (₹ Lakhs) - Futures,Value (₹ Lakhs) - Options (Premium),Value (₹ Lakhs) - Total,Open Interest (Contracts),Underlying,underlying
NIFTY,67052,50895154,50962206,1129221.128126,85820298150470.66,3564007.8578325,2434786.7297064997,7584350,25807.2
BANKNIFTY,21260,2272662,2293922,387950.96886,4153404282424.8,613880.583108,225929.614248,1146554,60739.75
SBIN,44053,663256,707309,393578.819025,600508370745.0,470445.926475,76867.10745,307226,1192.0
INFY,60375,605751,666126,339458.4922,358833313504.0,391295.54724,51837.05504,426621,1384.1
TCS,59497,630764,690261,291332.152615,321233597536.25,337192.5779775,45860.4253625,420669,2741.9
HINDUNILVR,37438,405386,442824,271410.59466,299750757597.0,309103.77063,37693.17597,102974,2407.0
ICICIBANK,26910,191587,218497,268735.76583,192575541165.0,285991.78748,17256.02165,266007,1432.0
BHEL,38356,118608,156964,265012.8476625,85008746445.0,278408.7308625,13395.8832,93249,259.6
HDFCBANK,46998,231955,278953,239609.81913,121461074773.5,250339.481865,10729.662735,679356,919.75
BHARATFORG,24025,157707,181732,204689.35045,137750223490.0,232640.58535,27951.2349,34946,1713.7
HAL,26338,215091,241429,162774.53613,139706354275.5,188892.828885,26118.292755,188381,4178.8
MCX,10576,57245,67821,159543.218625,89737801993.75,183855.4885625,24312.2699375,66615,2442.0
BAJFINANCE,21150,179654,200804,157719.938025,136128738975.0,175973.327775,18253.38975,166247,1001.0
WIPRO,22024,110139,132163,145828.257,75721763550.0,156198.2625,10370.0055,117747,218.8
MUTHOOTFIN,10582,110796,121378,116927.7417,129932979756.25,153008.6017625,36080.8600625,53802,4070.0
ASHOKLEY,12691,107425,120116,132577.293,115372691750.0,151659.0355,19081.7425,64948,210.99
RELIANCE,18992,154947,173939,138634.38055,114144886785.0,149288.6984,10654.31785,391736,1449.9
HINDALCO,19459,66850,86309,130667.12841,46271058610.0,140076.75451,9409.6261,105539,965.3
TECHM,13342,83874,97216,125219.57196,81143135442.0,137038.36638,11818.79442,61333,1529.8
M&M,16828,153471,170299,122221.27242,115350811040.0,135583.78282,13362.5104,171995,3590.0
EICHERMOT,13593,200350,213943,107396.6151,159936020203.0,128912.36713,21515.75203,88964,7936.5
MIDCPNIFTY,5728,245759,251487,95448.96069600001,412596920091.6,126292.58161200001,30843.620916,145353,13893.5
TATASTEEL,9605,65157,74762,110615.84105,76301539655.0,124687.1626,14071.32155,87011,207.98
RVNL,27867,40115,67982,121893.0586125,19787114547.0,124669.8865825,2776.82797,110662,314.1
BIOCON,10437,71241,81678,99138.9155,70277572525.0,114068.89075,14929.97525,37939,376.2
BEL,15634,152521,168155,98568.341265,99147738014.25,113838.5701575,15270.2288925,179413,444.0
SHRIRAMFIN,10804,108002,118806,95932.37379,98082463008.75,113146.8563775,17214.4825875,70987,1083.0
DIVISLAB,16410,104401,120811,102285.86159,66900579422.0,111146.25581,8860.39422,67387,6173.5
BAJAJ-AUTO,14148,51162,65310,104573.3295225,38341946826.0,108681.0477825,4107.71826,74846,9840.0
COFORGE,16233,107271,123504,87706.2271875,61283925112.5,99824.1283125,12117.901125,82533,1419.9
HCLTECH,17085,127119,144204,89490.788975,68937348011.0,99254.149085,9763.36011,111599,1470.9
PERSISTENT,15958,93859,109817,87360.3029,53756168503.0,98263.88793,10903.58503,60428,5455.0
VEDL,10626,62635,73261,85984.428775,51710705351.0,96867.864785,10883.43601,149294,702.4
ONGC,13465,101301,114766,83238.93945,64173844485.0,95239.8693,12000.92985,109039,276.4
ETERNAL,11267,88990,100257,81176.653355,65076378015.0,91196.384755,10019.7314,158133,297.4
TITAN,10776,122912,133688,80262.2359,93439475773.0,90518.77863,10256.54273,122062,4267.0
LTIM,9815,74084,83899,77319.18561,60729280062.0,87435.73623,10116.55062,38858,5186.0
RBLBANK,7848,24823,32671,78422.5904875,25131153858.75,82650.231575,4227.6410875,39268,315.7
IDEA,9421,23220,32641,77602.9877475,20256100055.25,82421.96805,4818.9803025,139296,11.56
LAURUSLABS,8379,39630,48009,72173.9896,35055582734.0,78286.18694,6112.19734,46741,1018.0
BSE,5615,46369,51984,66553.929525,55522828837.5,77063.9679,10510.038375,75261,3140.0
LT,9507,74738,84245,69651.1469325,54913982287.5,74215.7848075,4564.637875,175975,4180.0
HEROMOTOCO,6868,89685,96553,59376.493365,79805061555.0,69826.158915,10449.66555,60877,5725.5
KOTAKBANK,7377,29643,37020,63182.3012,25721696340.0,66062.1546,2879.8534,137500,426.0
BHARTIARTL,6295,52357,58652,60583.96107,51077031698.75,65271.7980575,4687.8369875,160176,2016.2
HUDCO,10410,56597,67007,57604.7262225,32410922911.5,64337.1359625,6732.40974,36553,201.99
FEDERALBNK,4085,18268,22353,58975.1235,26990832450.0,62678.198,3703.0745,28536,287.05
MFSL,7658,55698,63356,54377.44648,40374397256.0,60273.89904,5896.45256,33557,1817.9
MANAPPURAM,6052,17819,23871,55726.7454,16733727420.0,60205.1946,4478.4492,31425,308.35
TRENT,12059,129035,141094,51491.24677,55957472724.0,59988.87401,8497.62724,142437,4274.0
INDHOTEL,7659,37345,45004,54367.3055,27245125220.0,59121.1077,4753.8022,48118,702.45
INDUSINDBK,8658,23356,32014,56371.04851,15526195552.0,58857.44403,2486.39552,72677,922.7
MOTHERSON,6413,37254,43667,52256.25111,31028508100.5,58066.271115,5810.020005,49590,132.5
PIIND,9258,34338,43596,51961.679035,19926984722.75,58007.2012625,6045.5222275,42994,3163.7
AXISBANK,6422,55328,61750,54076.581375,46701844343.75,57904.9623125,3828.3809375,176278,1337.0
PFC,10037,41662,51699,53543.69033,22807491629.0,57544.33412,4000.64379,96018,410.3
LUPIN,5521,32015,37536,51787.4933375,31100574188.5,57124.1402225,5336.646885,37918,2219.3
INDUSTOWER,6301,33454,39755,50594.14234,27300550053.0,55832.64287,5238.50053,69958,472.85
PATANJALI,11052,33503,44555,51919.78212,16239558708.0,55261.5192,3341.73708,51993,521.35
CANBK,5296,19881,25177,51829.6752,20429544060.0,54395.6958,2566.0206,70312,144.7
ITC,9611,106930,116541,49135.1448,56546439904.0,54106.17584,4971.03104,304875,317.5
VOLTAS,8158,54716,62874,46620.9907125,31749409762.5,51726.2883375,5105.297625,51134,1534.0
TATAELXSI,9477,51998,61475,47643.69931,27991158503.0,51381.83434,3738.13503,44292,4967.5
DIXON,7697,67803,75500,44938.02125,41192052956.0,51334.15081,6396.12956,123577,11600.0
MARUTI,5661,103666,109327,43569.21951,80571585848.5,50352.377995,6783.158485,154778,15328.0
TMPV,15120,89798,104918,46566.41184,27701082752.0,50171.11936,3604.70752,186686,383.25
INDIGO,6222,24786,31008,46503.21096,18751870071.0,48952.81167,2449.60071,101939,4981.4
IOC,5264,27774,33038,45679.899525,24536722860.0,48888.571875,3208.67235,40700,178.11
GODREJPROP,9071,31482,40553,45541.288045,16131709965.25,48515.2026975,2973.9146525,62569,1808.0
NATIONALUM,3125,14265,17390,43517.394,20454641250.0,47748.5565,4231.1625,39872,370.0
ADANIENT,6405,28836,35241,43780.9850313,20186664973.74,47480.310968699996,3699.3259374,113166,2209.0
ZYDUSLIFE,5031,44498,49529,41622.64785,37850333364.0,46498.99149,4876.34364,25240,919.5
DLF,8089,27632,35721,43975.448715,15340414097.25,46058.9971875,2083.5484725,94157,650.55
PNB,4455,18261,22716,43462.5816,18303808720.0,46012.7488,2550.1672,58304,120.8
MPHASIS,6228,25413,31641,42637.62294,18011399051.25,45417.4509525,2779.8280125,29831,2460.5
APOLLOHOSP,4203,60315,64518,39521.2214,57405605563.75,45309.5895375,5788.3681375,60716,7542.0
BANDHANBNK,7013,15255,22268,42433.6878,9342717012.0,44251.29792,1817.61012,37703,170.0
ASTRAL,6016,26021,32037,40528.0093925,17924530558.5,43632.9999775,3104.990585,32892,1589.0
OIL,6079,22413,28492,40251.72088,15687035056.0,42805.11144,2553.39056,31906,473.55
OFSS,7337,53477,60814,37818.2323275,28951887156.75,42655.853895,4837.6215675,38789,6759.0
AUROPHARMA,6155,31630,37785,39050.393965,20518342405.0,42309.898015,3259.50405,67737,1157.6
KAYNES,8807,61851,70658,36131.77453,26043113096.0,42084.90549,5953.13096,88657,4076.0
RECLTD,7924,31341,39265,39197.45158,16265569012.0,41676.9017,2479.45012,127222,350.65
UNIONBANK,4808,21566,26374,38457.7427025,17801355642.75,41317.962255,2860.2195525,30809,180.79
TATAPOWER,6666,52823,59489,36548.10927,29474100656.5,40750.912085,4202.802815,85156,379.5
COALINDIA,6127,52077,58204,34322.694705,30203399556.0,38434.336515,4111.64181,90251,419.2
AMBER,3945,54052,57997,30453.29355,42138516773.0,37873.96128,7420.66773,33564,7788.0
CHOLAFIN,3323,9007,12330,35942.0984375,9943711631.25,37175.83975,1233.7413125,31456,1738.0
HINDZINC,4172,32576,36748,32092.6216625,26362678160.0,37035.5407625,4942.9191,117654,624.0
JIOFIN,5498,26400,31898,34727.18046,17480006621.5,36350.282925,1623.102465,125944,267.75
NAUKRI,8025,26401,34426,34280.0699625,11826104096.25,36288.260925,2008.1909625,48369,1145.7
IDFCFIRSTB,4477,18901,23378,34110.2250825,14846039880.0,35843.1846325,1732.95955,59659,82.0
PAYTM,3915,19676,23591,32638.0921225,17133632672.75,35404.81385,2766.7217275,51141,1146.3
FORTIS,4255,31878,36133,30796.50391,23788345170.75,35320.4031175,4523.8992075,27297,929.8
JUBLFOOD,4845,26585,31430,32366.1015,18565509650.0,34771.7605,2405.659,41935,540.55
IREDA,7930,12327,20257,33477.116055,5562382698.0,34588.976535,1111.86048,44690,125.0
NTPC,5519,82758,88277,30616.90065,46417341150.0,34510.81215,3893.9115,147195,368.0
MAXHEALTH,5649,29788,35437,31442.650785,16880606426.25,34401.9500475,2959.2992625,43328,1062.0
ABCAPITAL,2948,12351,15299,31485.75574,13651465350.0,33744.36924,2258.6135,38334,342.6
SWIGGY,7346,15694,23040,31795.38323,7015949824.0,33164.53647,1369.15324,43728,338.6
BRITANNIA,3790,42445,46235,28950.5013,32865242505.0,33133.30135,4182.80005,48163,6086.5
BPCL,4090,22549,26639,30726.036035,17455945603.25,32919.4408175,2193.4047825,34745,377.9
AUBANK,3052,7501,10553,30335.873,7619977520.0,31347.7482,1011.8752,30576,999.3
