"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"NIFTY",95104,103250673,103345777,1849512.5232525,4893738.627768,6743251.151020501,8381153,25722.1
"BANKNIFTY",25024,2351944,2376968,509875.186768,406259.43901699997,916134.625785,780104,57776.35
"BEL",55634,298342,353976,335184.6663225,37336.79949,372521.4658125,138778,426.2
"MARUTI",35289,347812,383101,288056.805795,35488.2227,323545.028495,118828,16155
"BSE",28163,139685,167848,256209.546225,35237.951625,291447.49785,65625,2480.1
"SHRIRAMFIN",35327,118142,153469,218656.4731725,19620.908505,238277.3816775,86385,751.4
"ICICIBANK",23402,94444,117846,222644.0937,10753.87264,233397.96634,270094,1345.5
"HDFCBANK",37874,144234,182108,207445.72673,10397.39833,217843.12506,476050,987.95
"CANBK",18978,104566,123544,175438.814625,23864.08095,199302.895575,61026,136.69
"SBIN",24108,126214,150322,171021.43905,15279.938475,186301.377525,185943,937.5
"BANDHANBNK",28760,98697,127457,166422.65868,12728.33136,179150.99004,63254,156.55
"RELIANCE",22292,117459,139751,166776.5255,11379.2585,178155.784,340369,1487
"UNITDSPR",25709,152359,178068,150434.46372,17685.17912,168119.64284,64734,1429.9
"MIDCPNIFTY",5313,220403,225716,100805.487966,45696.024822,146501.512788,86707,13476.3
"SAMMAANCAP",14257,40747,55004,115843.03501,11694.26022,127537.29523,34636,187.9
"UNIONBANK",16606,70176,86782,110021.333535,11894.344245,121915.67778,31857,148.36
"BANKBARODA",13130,60370,73500,106955.0822925,11389.37085,118344.4531425,65339,278.05
"VEDL",18208,89452,107660,104667.69436,10935.89993,115603.59429,139419,494.3
"PNB",10551,53988,64539,103930.3024,11524.3056,115454.608,46107,122.85
"IDFCFIRSTB",13731,59337,73068,104097.864185,10369.6828025,114467.5469875,61880,81.7
"ITC",15426,118323,133749,104828.83728,9021.4816,113850.31888,135741,419.95
"KOTAKBANK",12400,48938,61338,105417.17164,4901.87948,110319.05112,128111,2105.5
"AUROPHARMA",15743,56820,72563,99035.69445,8619.67502,107655.36947,59949,1144
"LT",13729,96320,110049,97093.52898,9375.61254,106469.14152,135424,4028
"MANAPPURAM",11826,36073,47899,96983.754,6207.0795,103190.8335,19766,271
"MCX",7692,42248,49940,89229.1604,12586.68795,101815.84835,43838,9243
"ETERNAL",11984,53793,65777,94146.32596,7194.1100025,101340.4359625,145229,318
"BHEL",12115,73277,85392,84317.4483375,12293.8396875,96611.288025,50419,264.5
"ADANIGREEN",10639,101722,112361,73407.8163,17678.80494,91086.62124,65082,1135.9
"ABCAPITAL",8097,32673,40770,82878.36112,6620.61854,89498.97966,37850,325.6
"INFY",13813,64575,78388,81953.5622,5040.52992,86994.09212,249937,1481.9
"DLF",12504,64662,77166,79606.234125,7021.3064625,86627.5405875,70584,757.75
"MPHASIS",10226,49705,59931,79751.042305,6677.4610375,86428.5033425,29911,2760
"ADANIENT",9829,69213,79042,74262.8463,11362.33554,85625.18184,93665,2474.9
"BAJFINANCE",9689,34256,43945,77014.063575,5531.467425,82545.531,147308,1045
"LODHA",13048,82086,95134,70813.26414,11615.306085,82428.570225,39348,1197
"BHARTIARTL",7952,29028,36980,78295.1019125,3671.2395175,81966.34143,119411,2061.3
"NTPC",15362,70112,85474,77531.1351,4383.77715,81914.91225,105893,336.45
"HAL",10576,49061,59637,74773.80417,7127.69457,81901.49874,107935,4689
"TCS",13630,80818,94448,73366.0356625,5657.870015,79023.9056775,269080,3060
"HINDALCO",11532,30675,42207,69060.83478,3646.13193,72706.96671,122570,849
"EICHERMOT",5090,45147,50237,62659.121335,9992.273445,72651.39478,33142,7014
"YESBANK",9238,41323,50561,65977.13854,6419.99788,72397.13642,50719,22.77
"GAIL",11140,45580,56720,64612.4031,5727.870855,70340.273955,49090,182.2
"CIPLA",11202,83042,94244,63674.177775,6637.5402375,70311.7180125,90718,1501.5
"ANGELONE",10216,36528,46744,63317.32775,5485.757725,68803.085475,21629,2494.4
"AXISBANK",8428,28233,36661,65510.5309375,2616.27525,68126.8061875,145964,1232.3
"INDUSINDBK",11384,26416,37800,64033.25145,3703.75299,67737.00444,116748,794.5
"INDIGO",7515,21283,28798,64009.655625,3441.206715,67450.86234,73004,5645.5
"UPL",6460,12780,19240,63600.317784499995,3227.427617,66827.7454015,36908,718.1
"M&M",8792,22902,31694,61939.84626,3243.09364,65182.9399,125318,3490.6
"HINDPETRO",6004,31569,37573,57751.48773,6901.3950075,64652.8827375,34977,476
"BAJAJ-AUTO",8870,40323,49193,59622.078075,4607.567265,64229.64534,66967,8900
"IDEA",9117,14343,23460,58057.19838,4400.6657175,62457.8640975,136008,8.72
"CDSL",7429,33257,40686,56453.152355,5800.7526775,62253.9050325,37767,1591
"IIFL",6298,23396,29694,56355.343935,5439.47349,61794.817425,16794,535
"COALINDIA",10650,57635,68285,56326.26465,4342.60899,60668.87364,77333,389.2
"HINDUNILVR",7192,27061,34253,53169.27408,2254.2765,55423.55058,102825,2461.2
"HEROMOTOCO",6039,24689,30728,50766.561615,3651.565965,54418.12758,43655,5550
"INDIANB",5625,24501,30126,48990.2955,5247.8856,54238.1811,18821,859.5
"SAIL",7547,23887,31434,48799.50686,4384.43166,53183.93852,60448,136.46
"PIDILITIND",6879,19154,26033,50448.21055,1746.2692,52194.47975,25844,1448
"LUPIN",5850,16748,22598,49104.1679475,2932.6515975,52036.819545,36184,1970
"SUZLON",9824,22398,32222,47155.173645,3330.29263,50485.466275,58761,59.35
"TATASTEEL",4471,25723,30194,45261.3788,4471.13095,49732.50975,69089,182.9
"FEDERALBNK",3832,19434,23266,45475.437,3785.7795,49261.2165,31074,236.68
"TITAN",6916,26422,33338,45725.972705,2991.5817225,48717.5544275,85408,3743.1
"POLYCAB",4456,21298,25754,43558.22875,3625.141975,47183.370725,21541,7709
"DIVISLAB",6382,31039,37421,43065.81145,4067.98944,47133.80089,45230,6750
"TMPV",13181,43085,56266,43734.45088,3293.15872,47027.6096,99814,410.1
"GRASIM",6110,17180,23290,44705.573475,1769.760275,46475.33375,73747,2900
"RBLBANK",4071,12884,16955,42729.52338,3375.510775,46105.034155,31126,326.2
"CHOLAFIN",4098,8839,12937,43409.043,1968.1606875,45377.2036875,32055,1701
"INDUSTOWER",6820,18548,25368,42830.13609,2182.0656,45012.20169,85329,364.05
"BANKINDIA",5564,16732,22296,40965.9198,3387.80156,44353.72136,20925,140
"DIXON",5117,32231,37348,40147.13851,4112.18024,44259.31875,84563,15492
"ADANIENSOL",5423,30574,35997,36244.5397875,5996.5040475,42241.043835,42488,980
"DABUR",6320,40556,46876,38756.231,2864.627875,41620.858875,35345,488.1
"PFC",7405,22268,29673,38936.24228,2481.28816,41417.53044,81265,403
"IOC",4540,26727,31267,36822.738225,4511.1763125,41333.9145375,42716,166.25
"JIOFIN",5263,22363,27626,38423.190195,2438.822715,40862.01291,103563,307.1
"HDFCAMC",4693,19479,24172,38189.87388,2542.938195,40732.812075,34385,5376
"VBL",7523,43777,51300,36831.717845,3854.2380625,40685.9559075,65783,469.5
"ASHOKLEY",5288,21884,27172,36843.46,3477.9255,40321.3855,45451,141.4
"BPCL",4937,37549,42486,34787.9606675,5457.69683,40245.6574975,33441,356.2
"TVSMOTOR",5924,35666,41590,36705.3668975,3518.9682325,40224.33513,90180,3509
"APOLLOHOSP",3752,15667,19419,36340.9306625,2287.533375,38628.4640375,28387,7676.5
"RECLTD",7386,30069,37455,35767.9233475,2491.2710775,38259.194425,118828,375.15
"APLAPOLLO",5734,13380,19114,36332.75268,1635.051145,37967.803825,35728,1796.8
"IEX",6092,30398,36490,32421.42525,3624.783375,36046.208625,44264,139.31
"WIPRO",4638,17477,22115,33692.6457,1966.5819,35659.2276,83094,240.9
"DRREDDY",4067,29246,33313,30443.28325,3212.714375,33655.997625,62495,1198
"JSWSTEEL",3787,17790,21577,31015.764,2635.1657775,33650.9297775,86776,1208.1
"LAURUSLABS",3715,15852,19567,30471.749705,2675.912115,33147.66182,45538,955
"POLICYBZR",4751,18481,23232,30285.24135,2400.12178,32685.36313,32988,1785.9
"HDFCLIFE",3724,15423,19147,30393.24486,1478.51869,31871.76355,42768,731
"ADANIPORTS",4187,20825,25012,29065.41948,2631.2254025,31696.6448825,76874,1450.5
"MUTHOOTFIN",3225,14503,17728,28641.9742125,3034.643865,31676.6180775,19694,3191
"ULTRACEMCO",5046,18099,23145,30440.02302,1081.278815,31521.301835,72168,11924
"PAYTM",3074,7775,10849,29305.52689,2073.9157875,31379.4426775,41507,1301
"LTF",2363,7674,10037,28702.82157,1922.781455,30625.603025,18874,270.55
"OBEROIRLTY",4436,19883,24319,27657.790265,2908.847095,30566.63736,18692,1777.1
"BDL",5541,18384,23925,27759.141865,2779.132005,30538.27387,23350,1535
"TRENT",6058,17926,23984,28645.63493,1860.7038,30506.33873,116158,4697.3
"SBICARD",4059,11353,15412,28618.56504,1077.25328,29695.81832,42039,880.05
"MAXHEALTH",4610,10663,15273,28127.9165475,1220.90346,29348.8200075,37261,1149
"GODREJCP",4995,11063,16058,27990.7651,1123.511,29114.2761,29580,1119.9
"HCLTECH",4927,20874,25801,26781.03645,1636.454015,28417.490465,68346,1540
"POWERGRID",5033,9989,15022,27404.35588,881.13944,28285.49532,63002,288.15
"ONGC",4519,17444,21963,26094.7962,1948.758525,28043.554725,57561,255.79
"NATIONALUM",2907,9634,12541,25541.14425,2160.84825,27701.9925,34703,234.11
"GLENMARK",3624,9413,13037,25888.7684625,1695.5276625,27584.296125,34094,1891.9
"AMBUJACEM",4402,10612,15014,26366.05692,1142.40231,27508.45923,58129,565.8
"INDHOTEL",3490,9224,12714,26216.4809,1252.2245,27468.7054,38583,745
"HUDCO",3653,15939,19592,24331.5094125,3118.7567325,27450.266145,21158,236.8
"PHOENIXLTD",4228,9073,13301,25193.74256,1398.504765,26592.247325,18213,1690.1
"DELHIVERY",2477,7572,10049,24385.81583,1843.5800225,26229.3958525,13493,466.7
"COLPAL",5117,6801,11918,25665.434685,543.1418775,26208.5765625,37969,2250
"LTIM",2769,13466,16235,23841.421665,2169.304785,26010.72645,23095,5680
"TATACONSUM",3802,10007,13809,24579.520515,1402.815755,25982.33627,40501,1163
"FORTIS",2990,6605,9595,23978.82116,1379.56851,25358.38967,17514,1024.7
"EXIDEIND",3318,16095,19413,22978.4418,2269.6965,25248.1383,33975,382.2
"TECHM",2815,7684,10499,24278.41398,949.53258,25227.94656,44583,1424
"JINDALSTEL",3478,12970,16448,23339.793,1783.233125,25123.026125,38361,1068.4
"BAJAJFINSV",4445,15924,20369,23523.964425,1482.73485,25006.699275,93482,2090
"TATAPOWER",3832,22368,26200,22702.29069,2240.35817,24942.64886,69340,404.75
"COFORGE",3486,11135,14621,23565.2869875,1339.3671375,24904.654125,55193,1785
"BIOCON",2453,6941,9394,23156.03,1349.3045,24505.3345,24491,372.8
"ASIANPAINT",3664,12930,16594,23148.711875,1024.039175,24172.75105,71853,2508.1
"GMRAIRPORT",3212,17280,20492,21392.79651,2624.71203,24017.50854,54401,93.83
"CGPOWER",3526,13935,17461,22129.106635,1683.52394,23812.630575,28437,735.85
"LICHSGFIN",3840,13400,17240,22057.181,983.4227,23040.6037,54652,572.3
"PERSISTENT",3502,12657,16159,20806.7993,1340.74757,22147.54687,34083,5921
"SUNPHARMA",3508,11835,15343,20903.010065,1183.602175,22086.61224,62621,1691
"GODREJPROP",3212,9475,12687,20493.96261,1515.704355,22009.666965,39778,2285.9
"MAZDOCK",4059,19635,23694,19590.8864625,2032.04953,21622.9359925,56244,2735
"HAVELLS",2787,4612,7399,20948.6754,485.4445,21434.1199,23780,1491
"INOXWIND",3866,6491,10357,19886.2979006,1081.5965736,20967.894474200002,24110,154.77
"NBCC",2539,5317,7856,19658.3374,1207.9665,20866.3039,16583,117.2
"JUBLFOOD",2609,5758,8367,19879.079375,952.76975,20831.849125,23582,600
"VOLTAS",3861,8030,11891,19888.7263125,863.2907625,20752.017075,43249,1380.3
"SBILIFE",2645,12001,14646,19503.7758,1169.6392125,20673.4150125,32603,1959
"PATANJALI",3497,10437,13934,19234.58373,1228.90554,20463.48927,44822,602.55
"NUVAMA",3543,11231,14774,18998.86173,1441.63905,20440.50078,11097,7115
"SRF",3253,12266,15519,19312.70382,1099.71216,20412.41598,27166,2933.9
"NYKAA",2285,5574,7859,17934.3871875,950.6025,18884.9896875,23142,248.47
"DMART",2764,13433,16197,17382.58749,1447.829925,18830.417415,52713,4152.9
"ABB",2598,10143,12741,17123.26195,1336.0412125,18459.3031625,29153,5224
"AUBANK",1959,4271,6230,17266.9173,690.7051,17957.6224,26016,876
"NMDC",3188,14296,17484,16375.22325,1268.989875,17644.213125,73539,75.7
"JSWENERGY",3059,11470,14529,16388.3012,1156.9062,17545.2074,56632,527.95
"CROMPTON",3225,7303,10528,16621.86816,820.2312,17442.09936,48132,282.85
"BHARATFORG",2494,6078,8572,16465.43825,933.0715,17398.50975,26997,1320.6
"NESTLEIND",2447,10095,12542,15703.6235,916.2298,16619.8533,48707,1271.9
"HINDZINC",2576,12906,15482,15166.812465,1353.2938825,16520.1063475,55564,477
"CUMMINSIND",1743,5576,7319,15246.03472,1127.56764,16373.60236,21608,4351
"KAYNES",2277,6515,8792,15381.43998,942.69445,16324.13443,22909,6712.5
"CAMS",2244,18624,20868,13304.361855,2113.241415,15417.60327,24165,3926.8
"MOTHERSON",2167,7557,9724,14250.989715,1139.28627,15390.275985,42472,105.44
"AMBER",1752,5778,7530,14088.80012,913.13741,15001.93753,14257,8033.5
"TORNTPHARM",1637,1767,3404,14721.58085,267.349325,14988.930175,11167,3547.2
"LICI",2205,4995,7200,13891.25815,593.75589,14485.01404,20348,895.95
