Symbol,Volume (Contracts) - Futures,Volume (Contracts) - Options,Volume (Contracts) - Total,Value (₹ Lakhs) - Futures,Value (₹ Lakhs) - Options (Premium),Value (₹ Lakhs) - Total,Open Interest (Contracts),Underlying,underlying
NIFTY,241615,192469218,192710833,3947773.4815675,316380853123091.25,14491453.38498,10543679.9034125,9721999,24767.05
BANKNIFTY,67930,3684452,3752382,1208904.6919739998,6651549303319.8,1780341.9651720002,571437.273198,788656,58345.75
MCX,34472,178912,213384,476265.823625,271952979656.25,573027.2451875,96761.4215625,56572,2226.0
BEL,70990,506333,577323,443353.8792525,335889172742.25,532008.404175,88654.5249225,189362,421.95
BSE,47432,140129,187561,461326.9407,145816562580.0,509263.629,47936.6883,61085,2570.0
VEDL,43298,286407,329705,322971.154875,226883117429.5,398400.08417,75428.929295,150003,654.0
HINDZINC,40508,254737,295245,282368.160235,198733159962.75,352808.0611125,70439.9008775,124860,567.75
SBIN,40239,228590,268829,315759.866625,184386286965.0,349011.548775,33251.68215,163413,1020.0
HAL,36849,294469,331318,248333.10078,212786390208.0,304079.37786,55746.27708,122804,4370.0
RELIANCE,39384,314669,354053,271762.5819,225456980795.0,301503.08985,29740.50795,422274,1342.8
MIDCPNIFTY,11857,361711,373568,187137.779412,584203108708.8,257941.0365,70803.257088,128217,13019.3
HDFCBANK,47408,172915,220323,243350.80968,90867621130.0,255915.26598,12564.4563,608535,918.05
DIXON,37377,269689,307066,196870.53336,153257583475.0,236952.51811,40081.98475,129051,10158.0
NATIONALUM,14410,79343,93753,188637.66825,112659377137.5,227894.752125,39257.083875,38380,353.3
ICICIBANK,22577,78804,101381,214063.37428,76517139503.0,223389.18931,9325.81503,252274,1334.0
PAYTM,22933,109423,132356,193851.4743275,97778501782.25,218149.40715,24297.9328225,42384,1165.2
TCS,35136,253193,288329,196608.627425,145085776221.75,217318.7196425,20710.0922175,208643,3178.2
INFY,25944,156860,182804,170677.137,106263891536.0,185587.57236,14910.43536,208346,1642.0
LT,21855,170039,191894,150210.2382375,121122675346.75,167740.151705,17529.9134675,140922,3800.0
HINDALCO,22221,98997,121218,142437.12427,65625174734.0,161184.59161,18747.46734,96204,907.0
PFC,28329,109434,137763,142259.83824,57303392406.0,159052.5248,16792.68656,81742,380.6
AXISBANK,16854,108177,125031,143032.0993125,94270234906.25,154933.760875,11901.6615625,168984,1344.2
