Symbol,Volume (Contracts) - Futures,Volume (Contracts) - Options,Volume (Contracts) - Total,Value (₹ Lakhs) - Futures,Value (₹ Lakhs) - Options (Premium),Value (₹ Lakhs) - Total,Open Interest (Contracts),Underlying,underlying
NIFTY,303280,414452553,414755833,5105821.42083,694323443174319.4,16455235.346523998,11349413.925693998,10620019,25727.55
BANKNIFTY,79198,2931351,3010549,1432565.9898420002,5318374891022.7,1891399.920069,458833.930227,806290,60041.3
ICICIBANK,48791,148299,197090,476296.14249,145605469632.0,492990.60881,16694.46632,243441,1388.0
RELIANCE,62452,414089,476541,452253.68385,303279195005.0,492911.9839,40658.30005,395013,1438.0
HDFCBANK,83220,266086,349306,437282.84424,141069035926.5,455989.203505,18706.359265,594699,947.65
MIDCPNIFTY,19640,393897,413537,325659.46152,644996849835.6,389430.489876,63771.028356,122566,13655.65
MCX,19647,79686,99333,302499.165625,126161446068.75,343240.0013125,40740.8356875,56496,2441.0
ADANIENT,36966,221347,258313,252272.9293848,156318397953.18,302346.8831166,50073.9537318,115519,2206.5
SBIN,33103,152767,185870,263278.860825,123029555625.0,283717.804575,20438.94375,168122,1062.1
AXISBANK,30701,133260,163961,260837.922375,114695290900.0,274193.518875,13355.5965,175250,1354.4
ADANIPORTS,31846,190150,221996,229936.98692,140004468526.75,262125.5971875,32188.6102675,82875,1532.0
VBL,45106,177251,222357,237477.82545,96069202458.75,260473.4062875,22995.5808375,71064,452.5
BAJFINANCE,32402,148448,180850,233434.729875,108370287202.5,254014.7769,20580.047025,167303,964.0
BSE,20242,78388,98630,216563.9577375,85490290530.0,242125.8630375,25561.9053,54935,2852.0
INFY,32532,142671,175203,218895.69348,97773127304.0,231102.08652,12206.39304,212486,1654.7
VEDL,25983,99663,125646,200945.442165,81408121995.0,223877.089615,22931.64745,157029,676.0
ETERNAL,28688,98328,127016,198915.60983,68949522249.0,213071.12732,14155.51749,155577,278.5
M&M,27705,101642,129347,197763.3849,74035701362.0,210785.99852,13022.61362,131866,3530.0
DIXON,33516,172849,206365,184681.006625,98551668353.5,208702.99016,24021.983535,117600,11033.0
MARUTI,24475,250525,275000,181121.513015,190003957884.0,200454.341855,19332.82884,150533,14768.0
BHARTIARTL,20265,50442,70707,192696.12109,48855579187.0,199443.35796,6747.23687,144534,1995.0
HINDZINC,20364,125593,145957,155535.0651225,102144526599.5,188289.6911175,32754.625995,114391,627.0
TCS,30969,161852,192821,175420.32998,93439471345.5,187146.793435,11726.463455,205340,3220.0
LT,23615,141706,165321,168315.657825,100903184842.25,181792.8062475,13477.1484225,144540,4038.0
BEL,24201,159219,183420,152784.716625,104483671005.75,175348.0154325,22563.2988075,181340,438.4
KOTAKBANK,20440,32795,53235,171238.9498,27840023920.0,175105.769,3866.8192,128021,415.8
INDIGO,21901,79456,101357,162051.38802,59248801623.0,171993.25425,9941.86623,93968,4948.0
IDEA,18698,43568,62266,151087.7503875,38498027463.0,162290.9420175,11203.19163,135261,11.42
JIOFIN,23221,135319,158540,143553.37229,86921076717.0,158421.75696,14868.38467,124997,264.0
NATIONALUM,10317,35789,46106,142143.21225,52222586287.5,156727.825125,14584.612875,40241,371.5
ITC,27628,198631,226259,140226.84912,105091244448.0,152940.4136,12713.56448,279564,316.95
HAL,18964,103248,122212,127313.0835,72223580208.0,143512.61058,16199.52708,120813,4467.0
INDUSINDBK,20724,36261,56985,135244.90574,23995216245.0,140455.98819,5211.08245,64950,923.0
HINDALCO,18623,59314,77937,125093.31268,40948969502.0,135156.2177,10062.90502,91669,954.4
POWERGRID,23084,149334,172418,121865.69239,80792758056.0,134326.73295,12461.04056,89867,283.05
UPL,11755,49135,60890,118074.8107035,49832598349.25,127811.235696,9736.4249925,38915,739.9
ADANIGREEN,19534,92798,112332,109272.04686,53836575654.0,127704.8634,18432.81654,65948,932.0
WIPRO,15977,57241,73218,118409.9346,43588738800.0,125027.8626,6617.928,72980,242.56
CANBK,11383,31825,43208,115292.7324,33373477912.5,121760.309025,6467.576625,61859,147.4
SUNPHARMA,18920,126804,145724,111693.419775,75341599532.5,121040.2851,9346.865325,107752,1702.1
WAAREEENER,18112,110635,128747,98899.1639825,63472177891.5,120585.9678975,21686.803915,29496,3110.0
PGEL,20086,63301,83387,109398.569645,35720104604.5,120511.48069,11112.911045,25386,561.85
BHARATFORG,14313,36675,50988,111705.05115,29077791140.0,119934.56255,8229.5114,22609,1539.5
INDUSTOWER,14779,52346,67125,110374.0861,40187138389.0,119247.96999,8873.88389,68305,439.95
POLYCAB,11619,37689,49308,109284.474525,35494017395.0,115939.273475,6654.79895,37851,7504.0
SHRIRAMFIN,12681,42536,55217,106076.637645,35941575516.0,113445.340305,7368.70266,70974,1000.0
GODREJPROP,21421,70331,91752,99423.046745,34295974484.75,109544.6815925,10121.6348475,67926,1697.9
TMPV,32947,150352,183299,98527.78776,45758233104.0,109114.3988,10586.61104,175262,372.5
TATASTEEL,9079,33953,43032,96953.76185,37094319735.0,104238.6642,7284.90235,76899,193.22
POLICYBZR,17349,64789,82138,91580.88996,36068677995.0,101646.83991,10065.94995,38902,1457.0
BANKBARODA,11143,35585,46728,93366.752895,30900936368.25,98932.2290775,5565.4761825,59469,286.0
CDSL,14094,60297,74391,89622.96713,39149579173.0,98711.64886,9088.68173,47329,1342.1
MUTHOOTFIN,8965,22897,31862,90052.862185,24517068985.75,95450.3645425,5397.5023575,31964,3644.9
BAJAJ-AUTO,12234,55460,67694,88779.103155,41119939241.25,94180.8705675,5401.7674125,68343,9610.0
FEDERALBNK,6142,17260,23402,88096.288,25117484350.0,92050.8815,3954.5935,22788,285.5
