Symbol,Volume (Contracts) - Futures,Volume (Contracts) - Options,Volume (Contracts) - Total,Value (₹ Lakhs) - Futures,Value (₹ Lakhs) - Options (Premium),Value (₹ Lakhs) - Total,Open Interest (Contracts),Underlying,underlying
NIFTY,26455,12755190,12781645,444029.0318165,21444330294231.0,1326572.2566265,882543.22481,6817714,25763.55
BANKNIFTY,12169,590546,602715,220316.42031900003,1074824108399.4,306749.474313,86433.053994,874892,60249.55
INFY,25902,139834,165736,161851.45212,90534041868.0,174589.6308,12738.17868,259900,1551.7
HAL,21111,87054,108165,133107.20967,58347176176.5,145537.146435,12429.936765,144110,4198.0
TCS,23386,122022,145408,125195.910735,67858800656.5,133465.9123,8270.001565,242520,3046.1
BAJFINANCE,12810,71519,84329,92277.3666,52411474792.5,99930.039525,7652.672925,170873,963.5
ICICIBANK,8838,42819,51657,87175.2798,42454917673.0,91686.02653,4510.74673,244721,1401.7
RELIANCE,9137,75802,84939,66609.66625,55833705665.0,74127.0729,7517.40665,393633,1456.6
HDFCBANK,11696,36804,48500,61405.51604,19442783657.0,63793.53761,2388.02157,597568,950.3
WIPRO,7927,31468,39395,55265.8206,22980212370.0,58519.7193,3253.8987,81973,233.23
MCX,2594,15324,17918,40453.570125,24935542625.0,48488.371375,8034.80125,57349,2487.4
TECHM,4473,21580,26053,43807.1316,22042080768.0,47075.93928,3268.80768,49615,1637.7
DIXON,6333,62400,68733,35742.728955,36549900126.5,44820.18022,9077.451265,119352,11400.0
HCLTECH,7127,38712,45839,39996.38748,22520820829.5,43114.965775,3118.578295,76209,1615.0
AXISBANK,4373,20707,25080,37144.38225,17846782025.0,38988.265,1843.88275,176186,1350.7
M&M,4759,33326,38085,34271.0435,24791253982.0,38766.18332,4495.13982,134119,3592.8
COFORGE,5930,20595,26525,35841.5056125,13052647005.0,38394.2756625,2552.77005,50693,1612.3
SBIN,4384,24520,28904,35115.7044,19860027165.0,38196.97605,3081.27165,169896,1069.6
VEDL,3941,22491,26432,31273.838415,18545086231.0,36491.698225,5217.85981,156627,690.75
PERSISTENT,5466,28561,34027,32176.85544,17422792249.0,35620.57793,3443.72249,38297,5883.5
ONGC,4795,40428,45223,28445.14845,24745438935.0,33454.2528,5009.10435,89644,267.0
MIDCPNIFTY,1367,67211,68578,22389.20928,111061160830.8,32875.197588,10485.988308,129164,13673.05
BEL,4419,30871,35290,27840.808395,20251815413.25,32160.4862775,4319.6778825,181528,439.9
ABCAPITAL,2721,11650,14371,29307.14239,12855339563.0,32100.04802,2792.90563,36202,345.55
HINDZINC,3153,19801,22954,24774.582525,16397973994.5,30352.45122,5577.868695,115128,638.3
LT,3851,21334,25185,27559.48398,15381567064.5,29403.894625,1844.410645,147610,4098.1
EXIDEIND,4158,22190,26348,25529.14296,14059410138.0,28829.86434,3300.72138,33441,342.85
VBL,5233,23383,28616,26112.428775,12253098960.0,28589.380875,2476.9521,76324,442.9
ADANIPORTS,3254,26442,29696,23763.4693375,19722165366.5,27438.7730025,3675.303665,84140,1535.9
BHARTIARTL,2751,8847,11598,26311.904235,8657982552.75,27333.5897625,1021.6855275,144465,2010.3
ADANIENT,3279,26059,29338,22473.1462065,18590649320.94,26884.7196159,4411.5734094,115011,2206.9
NMDC,4084,17240,21324,23207.94855,10089405832.5,25944.856875,2736.908325,71213,84.85
ASHOKLEY,2282,11574,13856,22921.9795,12040498250.0,25587.337,2665.3575,46137,203.55
LTIM,2728,14926,17654,23237.944125,13135335283.5,25337.12196,2099.177835,24869,5678.0
COALINDIA,3650,27641,31291,21331.074195,16727841387.0,24538.756815,3207.68262,74170,438.1
BSE,1883,9876,11759,20437.6964625,10953452073.75,23506.7172,3069.0207375,55665,2880.9
NTPC,3744,42353,46097,20334.6891,23376438240.0,23200.584,2865.8949,113254,367.0
ETERNAL,3082,15567,18649,21067.047335,10849135768.5,23146.61627,2079.568935,156860,283.85
ITC,4190,34576,38766,21126.0384,17982228192.0,22942.42432,1816.38592,279655,314.25
POWERGRID,3763,29963,33726,20345.29063,16552837810.0,22842.41123,2497.1206,91740,289.4
IOC,2431,12377,14808,20359.8032625,10620328972.5,22579.7329875,2219.929725,34414,172.6
MIDCPNIFTY,1367,67211,68578,22389.20928,0.0,22389.20928,0.0,19414,13673.05
OIL,2595,16986,19581,18212.48142,12493369588.0,22032.5973,3820.11588,22041,509.85
SOLARINDS,2613,21150,23763,18189.64454,15502278172.0,21976.77626,3787.13172,32838,13814.0
KOTAKBANK,2577,3711,6288,21464.4934,3140511360.0,21855.987,391.4936,128855,415.85
JIOFIN,3116,18989,22105,19658.54618,12322761246.5,21789.836145,2131.289965,125098,267.2
TATASTEEL,1803,6670,8473,19444.8067,7313733350.0,21016.8002,1571.9935,77655,195.51
