Symbol,Volume (Contracts) - Futures,Volume (Contracts) - Options,Volume (Contracts) - Total,Value (₹ Lakhs) - Futures,Value (₹ Lakhs) - Options (Premium),Value (₹ Lakhs) - Total,Open Interest (Contracts),Underlying,underlying
NIFTY,70547,126350683,126421230,1188593.126721,212152524106884.4,5452903.735565,4264310.608844,10051287,25867.3
BANKNIFTY,30138,2152391,2182529,549376.031442,3926455583408.4,796131.965526,246755.934084,1011842,60669.35
SBIN,66787,802879,869666,568030.09185,686066228467.5,663476.226525,95446.134675,273968,1147.8
KALYANKJIL,37597,331370,368967,187759.3584725,171760257555.0,247600.2590225,59840.90055,69252,436.0
TATASTEEL,17570,166039,183609,195357.2379,188370923345.0,229956.73635,34599.49845,86190,201.36
HDFCBANK,41185,145326,186511,213552.97953,76399685087.0,221662.3354,8109.35587,631380,938.8
BSE,13268,114728,127996,148332.677475,131651274105.0,184655.981025,36323.30355,66029,2986.0
ICICIBANK,17516,91502,109018,171577.86478,90344018562.0,178719.7104,7141.84562,266968,1395.1
INFY,25573,164290,189863,154268.4534,102750749988.0,167343.79328,13075.33988,363404,1497.0
KOTAKBANK,16934,63708,80642,145558.227,54826889820.0,152589.1652,7030.9382,144915,427.75
SHRIRAMFIN,14846,106953,121799,127709.8360725,93539248654.5,142982.9576175,15273.121545,77778,1063.0
MIDCPNIFTY,6073,299180,305253,100865.3808,496788856405.2,141904.554852,41039.174051999995,136492,13868.65
IDEA,15185,32544,47729,125930.0656575,28957603787.25,133558.67103,7628.6053725,140576,11.55
MCX,7326,44061,51387,111701.350125,69863845225.0,133080.302375,21378.95225,65841,2438.0
HAL,18630,118841,137471,113963.54853,76684886481.0,130569.86334,16606.31481,173719,4151.0
PFC,21640,124865,146505,116384.05298,68985303348.0,130486.39396,14102.34098,95134,414.55
RECLTD,23077,116444,139521,117262.7407,61385146312.0,128289.11382,11026.37312,123054,359.2
KAYNES,25525,199902,225427,99550.8741,80702011318.0,123209.03728,23658.16318,84158,3930.0
RELIANCE,14549,134167,148716,106623.38235,99135699655.0,117087.0289,10463.64655,393223,1461.2
TITAN,13382,116823,130205,99117.86136,88728884599.25,112850.3523525,13732.4909925,91585,4267.0
DIXON,14949,138492,153441,87874.894725,83300040736.0,106028.052085,18153.15736,124845,11735.0
ITC,16771,180971,197742,87002.23312,96522126432.0,96613.01744,9610.78432,300599,322.7
VEDL,10910,52596,63506,85098.26534,42301823594.5,94860.148785,9761.883445,158120,678.15
BHARTIARTL,8760,102533,111293,85086.920525,100469168434.75,94282.2498725,9195.3293475,156564,2038.2
CANBK,8893,26775,35668,89684.489925,27779220270.0,94240.000125,4555.5102,64629,147.85
INDUSINDBK,13341,53819,67160,86426.10249,35551045334.0,92480.59583,6054.49334,76029,928.5
TCS,16032,126027,142059,83097.0623,67651989753.25,91458.4548325,8361.3925325,335829,2951.0
GODREJPROP,13798,133208,147006,68168.1240075,67477800846.5,82804.5624725,14636.438465,70690,1802.0
GODREJCP,12906,41121,54027,76432.2115,24798545260.0,81477.9641,5045.7526,27616,1193.3
CROMPTON,15866,73713,89579,73072.40922,34670099646.0,80451.26568,7378.85646,51998,261.1
AXISBANK,8915,52817,61732,74742.212125,45079530193.75,78636.8265625,3894.6144375,183263,1341.0
MOTHERSON,9485,36440,45925,71672.36814,28153605730.5,78378.885945,6706.517805,43414,124.65
M&M,10053,46367,56420,72638.68002,34149593428.0,78200.4143,5561.73428,139576,3616.0
PATANJALI,14739,37567,52306,68955.35526,18189396927.0,74237.32953,5281.97427,48343,530.6
INDUSTOWER,8713,41279,49992,67122.43314,32408651012.0,73567.93826,6445.50512,70744,456.95
NATIONALUM,4868,17979,22847,66678.851625,25754478112.5,72723.69525,6044.843625,41206,365.5
HEROMOTOCO,7983,54140,62123,67537.72395,47421150649.5,72712.355445,5174.631495,62069,5748.5
ZYDUSLIFE,7588,70059,77647,62759.71881,59739927048.0,71673.46929,8913.75048,23908,922.0
HINDALCO,9709,34303,44012,65431.22586,23741987171.0,71110.49757,5679.27171,94951,963.6
ADANIENT,8807,56189,64996,61729.7460072,39840068618.1,70698.22658819999,8968.480581,111616,2250.4
BANKBARODA,7711,26721,34432,66170.7648225,23434977296.25,69773.137785,3602.3729625,61532,290.85
BAJFINANCE,8797,43338,52135,64745.96655,32172254392.5,68598.335475,3852.368925,165571,981.2
BEL,9677,76818,86495,60326.413125,49280289630.75,68234.6556825,7908.2425575,185443,437.0
TRENT,13204,158791,171995,55242.20125,68007714297.0,66344.79422,11102.59297,146603,4158.1
HINDZINC,7273,52475,59748,55716.0241575,42075022913.0,65961.4645375,10245.44038,120310,627.8
INDIGO,8143,43419,51562,60617.30106,32644218619.5,65447.112255,4829.811195,99636,4952.1
LT,8358,74299,82657,60169.0616625,53433580537.75,65019.02204,4849.9603775,167227,4109.0
SAIL,7907,19642,27549,59326.87236,15154865227.0,62720.71463,3393.84227,60393,158.55
AMBER,7121,61715,68836,48952.47715,44418790308.0,61376.98023,12424.50308,23663,7022.0
PNB,5803,19574,25377,57822.7408,19934042080.0,60733.7216,2910.9808,55400,123.35
TMPV,18016,112899,130915,54432.81416,34682033232.0,59132.58648,4699.77232,193409,377.6
ETERNAL,7654,39870,47524,53520.2187525,28200051314.5,58665.7568975,5145.538145,155253,288.7
VBL,10503,52186,62689,53499.5746875,27470546808.75,58090.855275,4591.2805875,75714,457.05
MANAPPURAM,5509,14365,19874,50628.7128,13475537430.0,54519.2871,3890.5743,31718,306.0
APOLLOHOSP,5468,33750,39218,49390.3727125,31220449382.5,53982.3040375,4591.931325,49150,7220.0
MUTHOOTFIN,4571,19915,24486,47543.6552525,21620539195.75,52702.49721,5158.8419575,33314,3777.0
ASHOKLEY,4663,21256,25919,47484.1255,22224295800.0,52065.8835,4581.758,48068,205.5
LTF,7245,31029,38274,48016.834875,20929110502.5,52047.7524,4030.917525,42118,296.5
ADANIPORTS,6359,37756,44115,47430.91182,28426761436.25,51921.8161825,4490.9043625,84767,1557.0
WIPRO,7147,22393,29540,49478.3739,16144591800.0,51580.7919,2102.418,101615,230.1
POWERINDIA,3845,32405,36250,42789.257025,36006892492.5,50399.68195,7610.424925,20033,22547.0
SIEMENS,8071,70157,78228,43881.9212825,39366791637.25,49568.537655,5686.6163725,33395,3109.0
MARUTI,5775,87704,93479,43303.909425,66781753399.5,49283.59342,5979.683995,154635,14980.0
AUBANK,4544,13635,18179,45470.7537,13840484530.0,47397.799,1927.0453,31436,1002.5
JIOFIN,7019,27069,34088,44766.464355,17729415552.5,46982.03613,2215.571775,129341,269.0
UNIONBANK,5314,19851,25165,42553.8501525,16313701839.0,45406.4166675,2852.566515,31175,179.95
SHREECEM,6132,49335,55467,41101.615895,33813921364.5,45384.76704,4283.151145,21143,27100.0
FEDERALBNK,2982,9774,12756,42815.438,14289270550.0,44693.2685,1877.8305,25105,286.5
ABCAPITAL,3717,16905,20622,40736.66104,18766727486.0,44292.7659,3556.10486,35786,353.45
BANKINDIA,4691,13398,18089,41232.53836,11992369636.0,43838.35872,2605.82036,18987,168.09
AUROPHARMA,5890,26747,32637,38899.54915,18266073721.5,42731.471365,3831.922215,53620,1204.0
BHEL,5319,34122,39441,38199.2816625,25065403098.75,42597.009525,4397.7278625,57424,274.0
RVNL,8266,42371,50637,38345.69678,21341929120.5,42055.451735,3709.754955,95201,317.1
POLYCAB,3827,34878,38705,37316.420375,33911422142.5,41960.6418,4644.221425,39454,7770.0
NYKAA,4389,21129,25518,38201.48,18696346187.5,41764.395,3562.915,27070,277.0
LUPIN,4190,13452,17642,39185.6188,13015495889.25,41425.7776925,2240.1588925,28202,2208.7
BIOCON,4168,11880,16048,38923.0525,11455695325.0,41408.00575,2484.95325,30218,372.95
POLICYBZR,6745,31363,38108,36615.85704,17466890021.0,40526.26725,3910.41021,43851,1530.0
VOLTAS,6472,46844,53316,36040.44435,26424539400.0,40490.33835,4449.894,50114,1502.0
GRASIM,5112,29542,34654,37217.143225,21917460480.0,40292.248025,3075.1048,82551,2925.0
COFORGE,6339,25075,31414,37022.956275,15312480180.0,40089.258075,3066.3018,63952,1549.5
LICI,5495,59516,65011,34437.84638,38436038137.0,39696.74275,5258.89637,42444,895.0
ANGELONE,5238,30106,35344,35424.161975,20751364600.0,39665.932975,4241.771,29238,2710.2
CHOLAFIN,3418,11665,15083,37822.7015,12957731375.0,39548.14025,1725.43875,32307,1770.2
DRREDDY,4583,43235,47818,36341.9359375,34975963787.5,39400.3238125,3058.387875,46695,1276.0
ULTRACEMCO,5368,64068,69436,34742.63144,42036686482.5,38618.996265,3876.364825,75655,13051.0
INDIANB,3823,25468,29291,34505.2136,23442766000.0,38428.5736,3923.36,18693,904.1
MAZDOCK,6615,47430,54045,32756.224,24333150614.0,38027.01014,5270.78614,51916,2475.0
EICHERMOT,4858,26458,31316,34888.37728,19609942456.0,37873.80184,2985.42456,55196,7209.0
IEX,7308,29836,37144,34254.98625,14557036537.5,37596.251625,3341.265375,55122,125.34
ASTRAL,5694,14786,20480,35700.110415,9498308008.5,37180.2155,1480.105085,30136,1491.0
NTPC,6022,60653,66675,32985.8628,33627247125.0,35879.24655,2893.38375,140935,361.2
POWERGRID,6119,33492,39611,33704.3717,18585744463.0,35836.89883,2132.52713,103340,289.35
ONGC,5448,32971,38419,32538.475575,20418612997.5,35709.71805,3171.242475,98972,266.7
SWIGGY,7806,18366,26172,33329.42249,8020348739.0,35561.11988,2231.69739,34704,334.8
CDSL,4817,33739,38556,31252.7580475,22540648803.0,35449.3710775,4196.61303,50778,1374.0
LAURUSLABS,3847,19903,23750,32002.26302,17186355360.0,34514.36662,2512.1036,43714,986.15
HINDUNILVR,4302,33303,37605,31341.58485,24691249716.0,34468.26201,3126.67716,79089,2430.0
JSWSTEEL,3655,26462,30117,30820.3325325,22562397126.0,34418.1737925,3597.84126,98575,1244.0
DLF,5628,33585,39213,31251.6308775,18846333181.5,34126.9226925,2875.291815,90707,670.9
HDFCLIFE,4208,14715,18923,32879.08514,11792097988.0,34054.97502,1175.88988,53699,707.3
BOSCHLTD,3394,28395,31789,30722.40827,26786432666.0,33703.42243,2981.01416,19775,35670.0
IDFCFIRSTB,4065,13383,17448,32062.03518,10757277447.0,33375.8649,1313.82972,53128,84.72
SONACOMS,4737,16195,20932,30914.8179725,10838730689.5,33359.7761175,2444.958145,19095,530.0
INDHOTEL,4341,20820,25161,30142.2976,14860460350.0,32735.0011,2592.7035,41542,693.95
PAYTM,3549,12204,15753,30559.77457,10856485950.5,32502.944075,1943.169505,46218,1178.1
SUNPHARMA,4957,45685,50642,29649.32796,27593762605.5,32006.829015,2357.501055,131381,1706.0
PERSISTENT,4991,21609,26600,29336.18488,13118220226.0,31759.38714,2423.20226,45356,5860.0
HCLTECH,5318,28438,33756,29843.01789,16303874373.5,31697.521625,1854.503735,93880,1595.1
SBILIFE,3999,17791,21790,30384.9573,13719722167.5,31318.203975,933.246675,48393,2026.0
CUMMINSIND,3291,13608,16899,29019.45374,11972114316.0,30887.2969,1867.84316,28416,4423.5
TECHM,2959,14735,17694,28841.84268,14814844872.0,30808.0914,1966.24872,55020,1619.0
BHARATFORG,3562,11229,14791,28429.61,9132581410.0,30524.6241,2095.0141,24158,1589.0
SUZLON,6584,20328,26912,28623.63224,9371639600.5,30155.790245,1532.158005,67702,48.14
BDL,5927,42516,48443,26558.956795,20663082384.0,30134.970635,3576.01384,63028,1304.0
BAJAJ-AUTO,3863,29166,33029,27833.17131,21358391763.75,30025.3889475,2192.2176375,69606,9580.0
FORTIS,4054,17064,21118,27709.78028,12001334420.0,29969.39198,2259.6117,22012,892.4
DIVISLAB,4554,15755,20309,27845.78094,9897972995.0,29686.31089,1840.52995,53338,6140.0
BANDHANBNK,4737,13724,18461,27711.14544,8159939676.0,29576.2122,1865.06676,42494,162.0
GAIL,5350,10212,15562,27643.17276,5342862105.0,28423.70181,780.52905,61632,164.02
MFSL,3897,9185,13082,27111.02944,6504876940.0,28129.47884,1018.4494,30449,1753.9
TVSMOTOR,3987,15987,19974,26270.115585,10718789331.25,27959.6438975,1689.5283125,64504,3762.6
AMBUJACEM,4545,21323,25868,25808.54997,12369944317.5,27479.880645,1671.330675,70841,542.7
NMDC,4413,16846,21259,25227.4851,9960665715.0,27472.95225,2245.46715,77420,84.49
PAGEIND,4712,46824,51536,24602.69292,25343716248.15,26961.6804015,2358.9874815000003,32659,34850.0
UPL,2542,9520,12062,25603.7348815,9691750778.0,26854.1776615,1250.44278,36793,745.0
BLUESTARCO,4064,12746,16810,25520.4490125,8028217561.0,26771.1396225,1250.69061,15203,1946.0
CGPOWER,3988,24734,28722,23378.67914,14568817012.0,26410.24426,3031.56512,34889,690.8
JINDALSTEL,3288,14534,17822,24520.47675,10940614756.25,26393.3743125,1872.8975625,33265,1190.0
SRF,4018,23428,27446,23968.27104,14202410262.0,26380.17366,2411.90262,28405,2984.6
YESBANK,3696,12642,16338,24833.99688,8882915419.0,26255.97907,1421.98219,57562,21.55
ADANIGREEN,4001,18834,22835,23645.01426,11062279512.0,26030.92938,2385.91512,66934,982.0
PGEL,3977,25518,29495,22522.421305,14770787881.5,25726.08512,3203.663815,26410,592.5
ASIANPAINT,3928,28466,32394,23786.86695,17852931565.0,25687.6326,1900.76565,107264,2416.5
INOXWIND,5941,17513,23454,23488.674495,7240164717.5,25591.432295,2102.7578,38992,111.5
IOC,2672,17256,19928,23026.7076,15070703358.75,25376.6686875,2349.9610875,44368,175.9
SOLARINDS,3395,20192,23587,22582.310005,14038773682.5,25297.34683,2715.036825,36029,13398.0
MAXHEALTH,4343,20433,24776,23343.3891075,11208621826.5,25206.1198725,1862.730765,42911,1010.5
LICHSGFIN,4577,10091,14668,23990.228,5389710880.0,24852.3868,862.1588,52759,523.75
PIIND,4304,8446,12750,23854.41695,4807556456.5,24845.216515,990.799565,26967,3214.0
PREMIERENE,5092,7468,12560,23625.8652475,3558074619.5,24656.7589425,1030.893695,16336,813.6
BRITANNIA,3132,14157,17289,22876.817675,10684432873.75,24515.3964125,1638.5787375,40811,5843.0
CIPLA,4534,26181,30715,22847.2179,13422469117.5,24481.921575,1634.703675,65301,1348.0
TIINDIA,4644,23079,27723,21977.72614,11367876216.0,24098.3683,2120.64216,31435,2358.0
APLAPOLLO,2824,18502,21326,22058.170295,14435652185.5,24061.92215,2003.751855,33480,2234.9
SBICARD,3712,12523,16235,22616.49816,7870844704.0,23737.5052,1121.00704,43272,765.1
TORNTPHARM,2294,2559,4853,22798.51185,2618313027.5,23090.692125,292.180275,14378,4005.0
LODHA,4171,27334,31505,20391.61212,13432072653.0,22988.42865,2596.81653,33181,1084.8
HAVELLS,3141,15113,18254,21490.27465,10424151930.0,22712.44395,1222.1693,31397,1369.5
NAUKRI,4564,20753,25317,19950.9768,9492123896.25,21820.3157625,1869.3389625,45838,1177.9
OIL,2935,11732,14667,20071.78684,8432877698.0,21765.00382,1693.21698,27349,489.0
BPCL,2636,14601,17237,20174.016305,11204439768.5,21743.92524,1569.908935,32766,385.8
JUBLFOOD,2979,7562,10541,20381.623875,5265946762.5,21543.904,1162.280125,28499,548.0
UNOMINDA,3028,13002,16030,19931.37751,8774268811.0,21537.02562,1605.64811,18078,1213.6
COALINDIA,3454,18570,22024,19920.372255,11162684358.0,21452.353335,1531.98108,82214,431.45
KEI,2463,8159,10622,19669.1256825,6650178981.25,21002.665495,1333.5398125,17066,4590.1
NBCC,2972,7041,10013,19642.1108,4863443065.0,20997.23145,1355.12065,23377,102.04
RBLBANK,2056,5904,7960,20070.3907075,5832267640.75,20880.799615,810.4089075,38734,307.7
HDFCAMC,2342,6211,8553,19273.90671,5139956055.0,19914.00726,640.10055,32670,2743.0
UNITDSPR,3297,17545,20842,18444.31272,9949623660.0,19582.30932,1137.9966,38521,1411.0
TATAELXSI,3464,14715,18179,18113.22233,8101631483.0,19304.58716,1191.36483,37299,5215.0
GLENMARK,2460,7600,10060,18231.4311,5759538397.5,19269.690075,1038.258975,41070,1978.0
HINDPETRO,1947,5724,7671,18337.842315,5455178057.25,19138.6303875,800.7880725,32036,463.4
GMRAIRPORT,2537,9766,12303,17409.693465,6802117929.0,18742.758255,1333.06479,40312,98.2
ICICIPRULI,3050,4606,7656,18433.547445,2819967330.25,18691.3294975,257.7820525,22018,647.1
