Symbol,Volume (Contracts) - Futures,Volume (Contracts) - Options,Volume (Contracts) - Total,Value (₹ Lakhs) - Futures,Value (₹ Lakhs) - Options (Premium),Value (₹ Lakhs) - Total,Open Interest (Contracts),Underlying,underlying
NIFTY,154607,219247370,219401977,2509963.4215045003,356180796311973.75,11402791.616241999,8892828.1947375,10092131,25088.4
BANKNIFTY,47002,2706355,2753357,826260.5844930001,4819132094322.0,1248938.557713,422677.97322,853655,58619.0
MCX,21466,91335,112801,302189.4101875,137198425131.25,348810.0365,46620.6263125,56699,2344.0
SBIN,38307,220093,258400,292059.41595,172906202677.5,320412.892725,28353.476775,171632,1026.5
VEDL,36679,120593,157272,276772.10816,96314328845.0,304452.95661,27680.84845,158278,661.85
RELIANCE,37974,349633,387607,261367.16475,247069079580.0,290671.61055,29304.4458,411621,1388.0
HINDZINC,33479,178412,211891,242626.0503275,138218218407.5,289045.9394025,46419.889075,118366,613.5
BSE,23756,112767,136523,235275.98595,116667280676.25,272042.2927125,36766.3067625,57036,2709.8
ICICIBANK,25698,91091,116789,242685.57516,87726244186.0,252048.74702,9363.17186,255150,1351.0
HDFCBANK,44916,184578,229494,229539.30956,95954845079.5,241683.307855,12143.998295,615576,928.1
BEL,33360,219456,252816,205203.0650325,141986195844.0,234392.4897225,29189.42469,181753,440.8
AXISBANK,26235,121797,148032,217476.6318125,103924787862.5,230379.1979375,12902.566125,174575,1309.2
NATIONALUM,13030,49069,62099,175997.517,70541472262.5,196181.395875,20183.878875,38841,371.5
HAL,24637,151466,176103,158508.641475,104190983034.0,180360.421815,21851.78034,130485,4348.0
MIDCPNIFTY,7789,251273,259062,122304.081636,402312742344.0,174217.35507599998,51913.27344,128488,13257.05
ITC,30111,323647,353758,148993.92208,169247179248.0,168251.35456,19257.43248,277738,314.55
SHRIRAMFIN,18036,79597,97633,142983.611925,65543438845.5,156836.86788,13853.255955,72001,966.0
UPL,15001,49148,64149,139541.5339745,47616025311.95,148778.27209399999,9236.7381195,41788,699.65
INFY,21407,96134,117541,139854.22732,64792203320.0,147650.18052,7795.9532,211028,1627.0
HINDALCO,21475,48875,70350,138066.50809,32588256267.0,145857.03076,7790.52267,97430,936.1
