"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"DABUR",990,4095,5085,6424.974875,321.512875,6746.48775,23552,518.6
"NAUKRI",1257,4380,5637,6300.9069,365.694375,6666.601275,29382,1330.8
"PIDILITIND",881,1179,2060,6511.0579,102.4554,6613.5133,16882,1472
"TORNTPHARM",691,650,1341,6475.313725,80.135075,6555.4488,12156,3712.1
"OBEROIRLTY",1055,3384,4439,6131.41207,319.72885,6451.14092,17499,1649
"SHREECEM",940,2455,3395,6254.8084125,186.289755,6441.0981675,14176,26420
"UNOMINDA",847,2675,3522,6108.455925,330.491535,6438.94746,11473,1314
"TATATECH",1113,3161,4274,6078.48376,210.78048,6289.26424,20874,678
"CYIENT",1224,3284,4508,5862.54996,369.3056625,6231.8556225,14255,1123
"LICHSGFIN",1028,3244,4272,5694.1161,208.2508,5902.3669,48256,550
"ALKEM",798,1691,2489,5723.6987875,171.3899,5895.0886875,14140,5677.5
"OIL",938,2427,3365,5452.78748,255.30064,5708.08812,11478,413
"HFCL",1136,3343,4479,5204.51016,431.798475,5636.308635,26026,70.26
"PRESTIGE",708,2081,2789,5360.05647,252.0792,5612.13567,12470,1673
"NCC",1063,4423,5486,4972.73526,359.29413,5332.02939,17362,171.34
"PIIND",824,2465,3289,4935.3960425,198.7517,5134.1477425,18944,3395
"KPITTECH",960,3529,4489,4731.549575,365.3089025,5096.8584775,11936,1221.5
"MANKIND",971,1933,2904,4943.44719,117.308655,5060.755845,13574,2250.9
"CROMPTON",984,3656,4640,4743.60912,208.50228,4952.1114,42593,265.6
"BOSCHLTD",504,1756,2260,4600.3872275,173.0943825,4773.48161,12343,36075
"PHOENIXLTD",632,1531,2163,3870.49656,136.331335,4006.827895,13825,1732.6
"DALBHARAT",576,867,1443,3790.952035,85.42014,3876.372175,9365,2010
"IREDA",736,2518,3254,3651.020805,193.000245,3844.02105,19911,142.99
"TORNTPOWER",739,1270,2009,3693.260175,138.7031875,3831.9633625,10178,1315
"IRFC",672,3553,4225,3373.545025,278.556475,3652.1015,18563,117.3
"KFINTECH",641,2443,3084,3087.70081,154.4076,3242.10841,10168,1058
"NHPC",616,2585,3201,3043.90848,191.76192,3235.6704,17030,76.65
"BLUESTARCO",459,1568,2027,2645.13171,91.7525375,2736.8842475,6965,1766
"NIFTYNXT50",93,395,488,1617.9235125,89.646495,1707.5700075,1210,69149.7
