Symbol,Volume (Contracts) - Futures,Volume (Contracts) - Options,Volume (Contracts) - Total,Value (₹ Lakhs) - Futures,Value (₹ Lakhs) - Options (Premium),Value (₹ Lakhs) - Total,Open Interest (Contracts),Underlying,underlying
JSWENERGY,2057,8855,10912,9757.5728,4313478060.0,10108.7034,351.1306,48978,471.4
PREMIERENE,2126,7683,9809,9275.4708775,3574807315.0,9838.0865275,562.61565,19740,755.05
SONACOMS,1468,3006,4474,9486.933855,1978147186.75,9779.6969725,292.7631175,19115,527.6
GODREJCP,1558,3514,5072,9324.3104,2120348370.0,9470.7441,146.4337,25960,1192.0
ICICIGI,1418,9196,10614,8796.9400025,5800816580.0,9256.1208025,459.1808,25636,1903.2
UNITDSPR,1516,7724,9240,8549.26932,4414453084.0,9124.80016,575.53084,39481,1400.2
PHOENIXLTD,1403,10025,11428,8565.32047,6205884776.0,9010.65823,445.33776,20603,1730.6
ICICIPRULI,1468,6186,7654,8695.799015,3758794230.25,8984.1338175,288.3348025,22668,638.75
SUPREMEIND,1259,5595,6854,8344.4743375,3780980969.5,8713.2090325,368.734695,16656,3760.0
SAIL,1089,701,1790,8077.61458,529412841.0,8135.70799,58.09341,55097,159.0
CAMS,1424,4701,6125,7727.277,2590554892.5,8040.200925,312.923925,17285,720.1
MANKIND,1533,5007,6540,7129.100835,2422071897.75,7353.7948125,224.6939775,22761,2060.3
360ONE,875,3571,4446,4939.7531,2103515620.0,5106.8093,167.0562,11836,1126.7
BAJAJHLDNG,494,3300,3794,2690.633215,1925501650.0,2800.849715,110.2165,8783,10888.0
SAMMAANCAP,171,148,319,1063.16941,94927402.0,1069.23843,6.06902,37550,144.7
