"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"SUPREMEIND",2487,11101,13588,14633.9302725,535.2588325,15169.189105,24735,3349.5
"TATATECH",2784,4934,7718,14833.46976,328.39656,15161.86632,27088,661.1
"OIL",2435,20035,22470,14096.26848,960.83904,15057.10752,17512,411.7
"PIIND",2499,7291,9790,14249.675615,361.24494,14610.920555,26046,3249.1
"BLUESTARCO",2468,5152,7620,14157.692055,206.603865,14364.29592,14295,1767.2
"INDIANB",1762,8227,9989,13865.1494,361.307,14226.4564,29082,781.7
"HFCL",3049,14901,17950,12959.92695,1056.37842,14016.30537,27957,66.2
"PHOENIXLTD",1999,2857,4856,12918.72925,109.84862,13028.57787,16094,1849.9
"AMBER",1821,15973,17794,12115.48517,892.87212,13008.35729,28519,6652.5
"LICI",1840,6547,8387,11083.40681,244.88163,11328.28844,37387,855.2
"PPLPHARMA",2264,7893,10157,10312.19575,318.1573375,10630.3530875,23461,177.85
"FINNIFTY",221,74569,74790,3905.072328,5397.006625,9302.078953,28957,27584.55
"NCC",1892,13157,15049,8195.40612,579.26286,8774.66898,19445,160.8
"TORNTPOWER",1168,2548,3716,5935.43529,86.5525375,6021.9878275,12668,1289.8
"NIFTYNXT50",280,1566,1846,4844.976955,123.31931,4968.296265,3055,69096.3
"CYIENT",861,3574,4435,4206.746985,144.956875,4351.70386,12116,1142.9
"SAMMAANCAP",317,987,1304,1933.4821,62.42052,1995.90262,50518,140.99
