Symbol,Volume (Contracts) - Futures,Volume (Contracts) - Options,Volume (Contracts) - Total,Value (₹ Lakhs) - Futures,Value (₹ Lakhs) - Options (Premium),Value (₹ Lakhs) - Total,Open Interest (Contracts),Underlying,underlying
NIFTY,91068,122500517,122591585,1519865.3687035001,204512251208493.16,7187309.446135,5667444.0774315,8909030,25693.7
BANKNIFTY,23881,2879880,2903761,430758.327285,5236353126062.1,791300.427906,360542.100621,945376,60120.55
ITC,56439,620865,677304,292322.03328,330011716992.0,335148.0592,42826.02592,296231,326.35
BHARTIARTL,22087,216256,238343,212552.706545,210649239966.5,235868.19621,23315.489665,157730,2023.0
INFY,33311,262749,296060,200663.99884,163703157884.0,223414.13768,22750.13884,340660,1505.7
KAYNES,49239,304296,353535,175885.19919,115371287953.0,211596.62872,35711.42953,88663,3713.0
MCX,11764,52787,64551,174157.3621875,83088244600.0,199632.0581875,25474.696,65971,2377.0
SBIN,21289,165719,187008,169728.517275,134073204285.0,188511.610125,18783.09285,186204,1066.0
TCS,32078,277055,309133,165537.3437725,148242658774.0,186088.5165125,20551.17274,330343,2940.3
POWERINDIA,13722,80133,93855,148590.549115,87704011676.0,174814.790875,26224.24176,18984,21850.0
MIDCPNIFTY,7378,339572,346950,120423.974064,560243920424.4,173680.228308,53256.254243999996,128517,13644.9
ICICIBANK,15912,96195,112107,156506.40432,95404344427.0,164977.80859,8471.40427,261217,1408.0
RELIANCE,19560,163220,182780,141618.05815,119892701130.0,154495.66945,12877.6113,395435,1451.0
NYKAA,14641,96193,110834,124476.835,84388552781.25,145407.4409375,20930.6059375,27159,276.8
HDFCBANK,26417,130189,156606,137452.324625,68756465228.0,144858.899405,7406.57478,603890,941.0
BAJFINANCE,17571,118297,135868,129013.872075,87069326595.0,141312.488025,12298.61595,162489,982.0
LICI,18127,206144,224271,113624.07504,132220175759.0,140615.34263,26991.26759,38349,899.0
VEDL,15229,84037,99266,115996.840585,67012848507.0,133302.295655,17305.45507,159015,666.0
TMPV,39432,248849,288281,117959.39312,76806367232.0,129568.42544,11609.03232,189875,368.9
KOTAKBANK,14307,63115,77422,120123.171,54137928720.0,128987.9582,8864.7872,143448,422.35
BSE,9804,47711,57515,105794.006925,53102786767.5,120014.8746,14220.867675,59117,2885.0
HAL,14912,95697,110609,90035.41815,61936205884.5,104300.776995,14265.358845,174799,4066.0
SIEMENS,16509,99891,116400,93249.0991425,57985162786.25,103846.114505,10597.0153625,31581,3139.0
MUTHOOTFIN,9254,39934,49188,91744.690785,42023420562.75,101794.9464125,10050.2556275,33281,3705.0
AXISBANK,10763,67150,77913,90140.2294375,56958010018.75,95810.767125,5670.5376875,179408,1341.9
HEROMOTOCO,9502,96119,105621,81071.31204,85320826720.5,91596.304245,10524.992205,59985,5746.0
RECLTD,16192,52619,68811,84202.2664,28385172886.0,89269.16026,5066.89386,114939,372.6
DIXON,12717,107391,120108,72476.697575,63764999093.0,87020.438505,14543.74093,122460,11490.0
HINDZINC,9838,64563,74401,72791.496505,50978826767.75,85850.2879325,13058.7914275,120333,606.75
TATASTEEL,6914,46599,53513,74757.6929,51638664165.0,84871.58955,10113.89665,80627,196.51
MANAPPURAM,8616,25590,34206,76359.6375,23720523330.0,83262.2958,6902.6583,31729,300.5
IOC,8396,50401,58797,72445.433775,44513180302.5,80100.1968,7654.763025,44966,174.9
HCLTECH,13325,62697,76022,74278.169595,35738796418.5,79578.94378,5300.774185,92075,1592.6
NATIONALUM,5367,17498,22865,71351.582625,25034812687.5,77336.30325,5984.720625,41751,353.4
POLICYBZR,12938,45725,58663,68404.788935,25357952630.5,73785.24524,5380.456305,43782,1487.0
PFC,11926,67001,78927,63792.54362,36759685248.0,71268.9211,7476.37748,95054,417.6
WIPRO,9730,35644,45374,67295.6445,25586726220.0,70730.1117,3434.4672,96141,230.4
BEL,9658,83668,93326,59084.8492425,53886320650.5,66492.7382475,7407.889005,186715,430.0
CANBK,6255,21439,27694,62101.761075,22299139147.5,65412.58005,3310.818975,62413,147.0
