symbol,futVolume,optVolume,totVolume,futTurnover,optTurnover,totTurnover,preTurnover,latestOI,underlying
VOLTAS,13797,25226,39023,68296.0397625,12936326096.25,69782.125725,1486.0859625,52016,1340.8
OFSS,10978,21231,32209,66057.094575,12883190397.75,67503.8985525,1446.8039775,25355,8054.5
ABB,11203,13496,24699,65830.670975,8336630958.75,67129.7930625,1299.1220875,34418,4777.0
BHARATFORG,9181,12555,21736,64996.1659,9155121490.0,65843.8808,847.7149,23999,1420.0
SWIGGY,15784,10123,25907,63684.96992,4379117288.0,65247.9828,1563.01288,34327,316.2
ZYDUSLIFE,7900,5036,12936,63533.21679,4237230258.0,64370.87937,837.66258,17447,891.9
COLPAL,13014,12341,25355,62991.493065,6141204643.5,63968.7645,977.271435,43717,2152.5
FORTIS,9654,7735,17389,62987.052555,5167430152.75,63623.1090825,636.0565275,23517,850.05
IREDA,14132,12512,26644,61902.07902,5904790195.5,63199.447725,1297.368705,39858,129.99
HDFCAMC,8493,10423,18916,62054.39829,7976876142.0,62911.27971,856.88142,39538,2433.0
JINDALSTEL,8943,13979,22922,60232.7718125,9629506387.5,61796.8356875,1564.063875,29785,1086.0
TATATECH,11485,9249,20734,59950.24632,5023056312.0,60613.96944,663.72312,26834,652.4
PATANJALI,13126,4894,18020,59181.46236,2345941008.0,59709.90744,528.44508,52674,500.0
DABUR,9114,8088,17202,58971.614625,5374371737.5,59628.582,656.967375,32629,515.9
MFSL,9222,5085,14307,58653.91492,3290985856.0,59048.73348,394.81856,28750,1570.0
KFINTECH,11705,4410,16115,58607.98745,2294930380.0,59042.19125,434.2038,17751,1025.9
NHPC,12102,8476,20578,57960.37632,4300873280.0,58915.73312,955.3568,24999,75.6
ANGELONE,8708,22599,31307,54960.4664,14721629400.0,56986.2604,2025.794,31344,2558.0
PGEL,11332,9708,21040,55656.08649,5056297546.5,56951.016955,1294.930465,25154,523.0
INDIANB,6227,11547,17774,54311.8444,10298371300.0,55569.6574,1257.813,20425,883.0
WAAREEENER,11489,35541,47030,53494.2418675,16881815275.5,55499.4196225,2005.177755,28594,2701.4
CAMS,10230,14031,24261,53695.86045,7672352445.0,55083.7599,1387.89945,19877,703.0
BOSCHLTD,5840,20082,25922,51441.258815,19038903577.75,52156.5445925,715.2857775,21451,35525.0
PRESTIGE,7883,9598,17481,48817.964655,6186324249.0,49855.877145,1037.91249,17097,1402.0
PREMIERENE,11766,22748,34514,48050.1392125,9696588124.0,49592.8729525,1542.73374,19804,706.75
ASTRAL,8297,6957,15254,48884.8098925,4229782299.5,49290.7228875,405.912995,28957,1400.0
OBEROIRLTY,9435,7865,17300,48113.007355,4364747747.5,49049.70483,936.697475,27292,1468.0
PAGEIND,9821,14250,24071,47256.9041325,7349520174.75,48028.13088,771.2267475,28761,32300.0
